X,abstract,authors,Included,doi,ID
4,"These guidelines for the treatment of patients who have sexually transmitted diseases (STDs) were developed by CDC staff members after consultation with a group of invited experts who met in Atlanta on February 10-12, 1997. The in-formation in this report updates the '1993 Sexually Transmitted Diseases Treatment Guidelines' (MMWR 1993;42[no. RR-14]). Included are new recommendations for treatment of primary and recurrent genital herpes and management of pelvic inflammatory disease; a new patient-applied medication for treatment of genital warts; and a revised approach to the management of victims of sexual assault. Revised sections describe the evaluation of urethritis and the diagnostic evaluation of congenital syphilis. These guidelines also include expanded sections concerning STDs among infants, children, and pregnant women and the management of patients who have asymptomatic human immunodeficiency virus infection, genital warts, and genital herpes. Guidelines are provided for vaccine-preventable STDs, including recommendations for the use of hepatitis A and hepatitis B vaccines.","(1998).  1998 guidelines for treatment of sexually transmitted diseases MMWR: Morbidity & Mortality Weekly Report, 47(2),  1-116",0,,1
20,"During power outages after hurricanes, survivors can be at risk for carbon monoxide (CO) poisoning if they use portable generators improperly. On September 13, 2008, Hurricane Ike struck the coast of Texas, leaving approximately 2.3 million households in the southeastern portion of the state without electricity. Six days later, 1.3 million homes were still without electrical power. To assess the impact of storm-related CO exposures and to enhance prevention efforts, CDC analyzed data from five disparate surveillance sources on CO exposures reported during September 13--26 in counties of southeast Texas that were declared disaster areas by the federal government. This report describes the results of that analysis, which indicated that one data source, Texas poison centers, received reports of 54 persons with storm-related CO exposures during the surveillance period. Another data source, the Undersea and Hyperbaric Medical Society (UHMS) hyperbaric oxygen treatment database, reported that 15 persons received hyperbaric oxygen treatment for storm-related CO poisoning. Medical examiners, public health officials, and hospitals in Texas reported that seven persons died from storm-related CO poisoning. Among the data sources, the percentage of reported storm-related CO exposures caused by improper generator use ranged from 82% to 87%. These findings underscore the need for effective prevention messages during storm preparation, warnings, and response periods regarding the correct use of generators and the installation and maintenance of battery-powered CO detectors.","(2009).  Carbon monoxide exposures after Hurricane Ike -- Texas, September 2008 MMWR: Morbidity & Mortality Weekly Report, 58(31),  845-849",0,,2
21,"During a 3-month period in 2008 in Japan, 208 persons committed suicide by mixing household chemicals and, while in a confined space, breathing in the resultant poisonous gas. The large number of similar suicides is believed to have resulted from the posting of directions for generating poisonous gas on the Internet. In addition to claiming the suicide victim, lethal gas generated by intentionally mixing household chemicals can leak from confined spaces, triggering evacuations, and exposing bystanders and first responders to injury. Chemical suicides similar to those in Japan in 2008 have been reported increasingly in the United States, with the majority occurring inside automobiles. To characterize such incidents in the United States, the Agency for Toxic Substances and Disease Registry (ATSDR) analyzed reports of chemical suicides and attempted suicides that occurred in automobiles, using 2006--2009 data from states participating in the Hazardous Substances Emergency Events Surveillance (HSEES) system and 2010 data from states participating in the new National Toxic Substance Incidents Program (NTSIP). This report summarizes the results of that analysis, which found that, during 2006--2010, a total of 10 chemical suicide incidents were reported from six states, resulting in the deaths of nine suicide victims and injuries to four law enforcement officers. When responding to suspected chemical suicide incidents, emergency responders must take precautions to ensure both their safety and the safety of any bystanders in the immediate vicinity.","(2011).  Chemical suicides in automobiles --- six States, 2006--2010 MMWR: Morbidity & Mortality Weekly Report, 60(35),  1189-1192",0,,3
22,"The article presents abstracts on topics related to healthcare of ill elderly patients which include the use of femoral nerve block for pain management of hip fractures, the use of telehealth video conferencing of caregivers of dementia patients, and the advanced healthcare planning.","(2015).  Technology Evaluation in the Elderly Abstracts from the meeting held in Toronto, September 21-23, 2014 Canadian Geriatrics Journal, 18(2),  108-133",0,,4
24,"The article previews several articles published in 2016 including ""An Overview of the Literature and Challenges for the Nursing Profession"" by V. Minogue et al. from the journal ""Nursing Management,"" ""Identifying and Responding to Gaps in Domestic Abuse Services for Older Women"" by R. Shiel from ""Nursing Older People,"" and ""Healthcare Professionals' Attitudes Towards Patients With Cancer Who Smoke"" by S. Cubbin from ""Cancer Nursing Practice.""","(2016).  in other RCNi journals Emergency Nurse, 24(4),  43-43",0,,5
25,"PC-FACS (Fast Article Critical Summaries for Clinicians in Palliative Care), an electronic publication of the American Academy of Hospice and Palliative Medicine, provides palliative care clinicians with concise summaries of the most important findings from more than 50 medical and scientific journals. Each month, structured summaries and insightful commentaries on 6-10 articles help palliative care clinicians stay on top of the research that is critical to contemporary practice. PC-FACS is free to AAHPM members and members can earn up to 3 CME credits quarterly. Following are excerpts from recent issues, and comments from readers are welcomed at resources@aahpm.org.Copyright © 2012 by Elsevier Inc.","A. P. Abernethy (2012).  Pc-facs Journal of Pain & Symptom Management, 43(3),  651-662",0,,6
27,"On the basis of current epidemiological and clinical research, this article describes how mental health symptoms are associated with heart disease, a major chronic condition that occurs primarily in middle and late life. The article describes the culturally and historically important link between heart and mind. It then describes depression and anxiety, both as manifestations of heart disease and as contributors to the disease prognosis. In addition to discussing risk factors, the article discusses factors that protect against the co-occurrence of mental health problems and heart disease such as positive attitudes, coping mechanisms, social supports, and spirituality. Further, the article highlights issues concerning the clinical assessment of mental health symptoms and interventions to address them. Finally, it summarizes the collaborative chronic care model, in which health care professionals - including medical, mental health, gerontological, and community social workers - assess and manage patients with comorbid mental health symptoms and heart disease.","A. L. Ai, B. L. Rollman, C. S. Berger (2010).  Comorbid mental health symptoms and heart diseases: can health care and mental health care professionals collaboratively improve the assessment and management? Health & Social Work, 35(1),  27-38",0,,7
28,"Obesity has been strongly implicated as a risk factor for knee osteoarthritis and, in some studies, for osteoarthritis of the hip. Osteoarthritis is the most commonly reported diagnosis for joint replacement patients. In this study, we conducted analyses based on data from the Canadian Joint Replacement Registry (CJRR) to estimate the relationships between overweight and obesity and rates of joint replacement surgery in Canada. Obese persons were over three times as likely and overweight persons were one and a half times more likely to undergo joint replacement surgery, compared to those in the acceptable weight category in 2003–04. This study provides evidence of a clinically relevant association between obesity and joint replacement surgery.","A. B. Aiken, M. M. Harrison, B. Brouwer, D. Groll, C. Pukall (2009).  Obesity and knee replacement surgery Physiotherapy Canada, 61(#issue#),  7-8",0,,8
29,"Objective:To investigate developmental paths in multisite musculoskeletal pain (MPS) and depressive symptoms (DPS) and the effects of job demands (JD), job resources (JR), optimism and health-related lifestyle on these paths. We expected to find four trajectories – Low Symptoms, High Pain, High Depression and High Symptoms – and hypothesised that high JDs, low JRs, low optimism and adverse lifestyle predict belonging to trajectories with high symptom levels. Design:Data on Finnish firefighters (N = 360) were collected in 1996, 1999 and 2009. The effects of JDs (mental and physical workload), JRs (supervisory relations, interpersonal relations, task resources), optimism and lifestyle (alcohol consumption, smoking, physical exercise, sleeping) on MPS and DPS were assessed. Latent class growth modelling and multinomial logistic regression were applied. Results:Three trajectories emerged: Low Symptoms; High Pain; and High Depression. In a multivariable model, high mental workload (OR 2.9, 95% CI 1.5–5.5), poor interpersonal relations (2.6, 1.4–5.0), sleeping problems (2.7, 1.4–5.2) and low optimism (2.0, 1.0–3.7) predicted belonging to High Depression. Alcohol consumption (2.4, 1.4–4.1) and sleeping problems (2.1, 1.3–3.6) were related to High Pain. Conclusions:Different developmental paths in MPS and DPS are possible. Partly different factors predict the development of pain and depressive symptoms.","Auli Airila, Jari J. Hakanen, Ritva Luukkonen, Sirpa Lusa, Anne Punakallio, Päivi Leino-Arjas (2014).  Developmental trajectories of multisite musculoskeletal pain and depressive symptoms: The effects of job demands and resources and individual factors Psychology & Health, 29(12),  1421-1441",0,,9
30,"This survey in primary health-care centres in north Jordan aimed to assess health-care providers' perceptions of their knowledge, skills and preparedness for disaster management. A multistage random sample was used to recruit nurses and physicians from 57 health centres. A total of 207 participants completed the Arabic version of the Disaster Preparedness Evaluation Tool. Participants perceived themselves as having moderate preparation for disaster management [mean score 74.9 (SD 21.6)], moderate knowledge [mean 49.9 (SD 12.3)] and moderate to weak skills in disaster management [mean 35.3 (SD 12.7)]. Significant differences were revealed in participants' perceptions of their disaster preparedness, knowledge and skills according to their sex, specialty and exposure to a real disaster situation. Further education and training courses are needed to enhance providers' preparedness for disaster management in Jordan. La présente enquête menée dans des centres de soins de santé primaires au nord de la Jordanie visait à évaluer les perceptions des prestataires de soins de santé quant à leurs connaissances, compétences et état de préparation en matière de gestion des catastrophes. Un échantillon aléatoire à plusieurs degrés a été utilisé pour recruter des membres du personnel infirmier et des médecins dans 57 centres de santé. Au total, 207 participants ont rempli la version en langue arabe de l'outil d'évaluation de l'état de préparation aux catastrophes (Disaster Preparedness Evaluation Tool). Les participants se percevaient comme étant modérément préparés à la gestion d'une catastrophe (score moyen 74,9 [E.T. 21,6]), avec un niveau de connaissances moyen (moyenne 49,9 [E.T. 12,3]) et des compétences moyennes à faibles pour la gestion d'une catastrophe (moyenne 35,3 [E.T. 12,7]). Des différences importantes se sont dégagées dans la perception des participants de leur état de préparation, de leurs connaissances et de leurs compétences en fonction de leur sexe, de leur spécialité et de leur exposition à une véritable situation de catastrophe. Des programmes d'enseignement et de formation sont nécessaires pour améliorer l'état de préparation des prestataires à la gestion des catastrophes en Jordanie.","N. M. Al-Ali, A. H. Abu Ibaid (2015).  Health-care providers' perception of knowledge, skills and preparedness for disaster management in primary health-care centres in Jordan Eastern Mediterranean Health Journal, 21(10),  713-721",0,,10
31,"The Effort-Reward Imbalance (ERI) model comprises both situational components (i.e. effort and reward) and a person-specific component (overcommitment). The aims of this study were to investigate the role of theoretically and historically linked personality variables (i.e. overcommitment and Type A personality) within the ERI model and to expand and extend the ERI model by investigating the contribution of individual reward components to both psychological (i.e. psychological distress) and attitudinal (i.e. affective commitment) employee strain indicators. A total of 897 police officers from a large Australian police agency participated in the study. The results provided no evidence of an interaction effect of effort or reward with overcommitment. The Type A variables did, however, make significant contributions and were involved in a number of interactions, suggesting that the person-specific component of the ERI model could be extended with the Type A personality profile. The findings also suggest that the esteem component of reward has the greatest relevance to employee outcomes, although tangible aspects of reward are more likely to act as a buffer of perceived work demand.","Amanda Allisey, John Rodwell, Andrew Noblet (2012).  Personality and the effort-reward imbalance model of stress: Individual differences in reward sensitivity Work & Stress, 26(3),  230-251",0,,11
32,"Using data from a randomized trial (N = 329), this study examines which low-income urban crime victims initiate case management and/or trauma-focused psychotherapy offered following emergency medical treatment. More hyperarousal symptoms, fewer avoidance symptoms, and interest in discussing one's injuries predicted case management initiation. Being stably housed, employed, and having fewer avoidance symptoms predicted psychotherapy initiation, while being a weekly drug user was associated with decreased odds of initiating psychotherapy. Results suggest that active outreach to urban crime victims may diminish gender and ethnic disparities typically seen in treatment settings, but that certain subgroups of victims with high service needs may require additional engagement efforts.","J. Alvidrez, M. Shumway, V. Kelly, S. Smart, M. Gelb, R. L. Okin, G. Merrill, A. Boccellari (2008).  Which low-income urban crime victims use trauma-focused case management and psychotherapy services? Journal of Loss & Trauma, 13(4),  288-302",0,,12
33,"Anxiety and mood disorders are more common in women than in men. The lifetime prevalence of anxiety disorders in US adults is 28.8%, with women being 60%more likely than men to experience an anxiety disorder over their lifetime.1 The lifetime prevalence of mood disorders in adults is 20.8%, with women being 50%more likely than men to have a mood disorder over their lifetime.2 Major depressive disorder and bipolar disorder, two of the most common mood disorders, have lifetime prevalences of 16.6%and 3.9%, respectively;3,4 women are 70%more likely than men to experience depression over their lifetime.3 Therefore, nurse practitioners need to be able to identify anxiety and mood disorders in their patients, as well as treat them or refer them for treatment as needed. The author presents four case studies that illustrate problems commonly encountered in primary care practice, and then answers questions posed to her in a session following her case-study presentation at the National Association of Nurse Practitioners in Women's Health (NPWH) conference in Austin this past October.","Mary Ann Nihart (2012).  DIAGNOSING AND TREATING ANXIETY AND MOOD DISORDERS IN WOMEN: Four Case Studies Women's Health Care: A Practical Journal for Nurse Practitioners, 11(5),  8-14",0,,13
35,"The ability to decode emotional cues is associated with both personality disorders and violence. This study investigated whether subtypes of intimate partner abusers differ in their ability to label facial affect displays. Intimate partner violent (IPV; n = 69) and nonviolent (NV; n = 32) men were asked to label slides of facial affect. Cluster analyses classified the IPV men into three different types as per the Holtzworth-Munroe and Stuart (1994; Typologies of male batterers: three subtypes and the differences among them. Psychological Bulletin, 116, 476-497) typology: family-only (FO), borderline or dysphoric (BD), and generally violent or antisocial (GVA). Overall, IPV men did not make more errors decoding facial affect slides than did NV men. However, GVA batterers showed deficits while BD batterers were particularly accurate in identifying emotions. Clinical implications are that emotional recognition skills training techniques may be useful for GVA batterers only.","J. Babcock, C. E. Green, S. A. Webb (2008).  Decoding deficits of different types of batterers during presentation of facial affect slides Journal of Family Violence, 23(5),  295-302",0,,14
36,"Emergency nurse practitioners should be prepared to prescribe post.exposure prophylaxis for sexual exposure (PEPSE) to people who may have been exposed to HIV, even where the number of such presentations is small. As this article makes clear, nurse prescribers require a sound knowledge of the drugs recommended in PEPSE protocols, and of their side effects, to relieve patients' anxiety and inform them about safe sexual practice. The article offers a case study and reflection to show that patients, particularly those who may have been exposed to HIV, who have been given the information they want are more likely to complete their courses of treatment.","Sue Bagley (2012).  Prescribing prophylaxis to patients who have been exposed to HIV Emergency Nurse, 19(10),  16-19",0,,15
37,"Nerve agents are extremely toxic and are some of the most lethal substances on earth. This group of chemicals consists of sarin, cyclosarin, soman, tabun, VX, and VR. It is currently unknown how many countries possess these chemicals and in what quantities. These agents work through altering the transmission and breakdown of acetylcholine by binding to, and inactivating, acetylcholinesterase. This results in an uncontrolled and overwhelming stimulation of both muscarinic and nicotinic receptors. Receptor activation at these sites can lead to a wide variety of clinical symptoms, with death frequently resulting from pulmonary edema. Antidotal therapy in this setting largely consists of atropine, pralidoxime, and benzodiazepines, all of which must be administered emergently to limit the progression of symptoms and prevent the enzyme inactivation from becoming permanent. This article reviews the mechanism of action of the nerve agents and their effects on the human body, the currently available therapies to mitigate their impact, and important therapeutic considerations for health care practitioners in the emergency department.","Abby M. Bailey, Stephanie N. Baker, Regan A. Baum, Hannah E. Chandler, Kyle A. Weant (2014).  Being Prepared Advanced Emergency Nursing Journal, 36(1),  22-35",0,,16
39,"Songwriting as a therapeutic intervention has received increasing attention in the field of music therapy over the past decade however much of the publications focus on clinical outcomes rather than methods of practice. This paper, part of a two-part research report into trends in the clinical practice of songwriting, aims to describe the most frequently employed goal areas across a range of clinical populations and compare these findings with the published literature. Responses to a 21-question on-line survey were obtained from 477 professional music therapists practicing in 29 countries which focused on approaches to songwriting within their practice with a single clinical population. Chi-square or comparable Exact tests (Fisher-Freeman-Halton) were applied to the data and significant associations were found according to different clinical populations particularly with respect to the aims of songwriting in clinical practice and the frequency with which songwriting is employed in practice. The data highlights that songwriting is frequently employed in developmental disability and ASD practice, with reports on songwriting with these diagnostic groups being underrepresented in the music therapy literature. The survey identified that the most frequently endorsed goal areas align with the literature base and included a) experiencing mastery, develop self-confidence, enhance self-esteem; b) choice and decision making; c) develop a sense of self; d) externalising thoughts, fantasies, and emotions; e) telling the client's story; and f) gaining insight or clarifying thoughts and feelings.","F. Baker, T. Wigram, D. Stott, K. McFerran (2008).  Therapeutic songwriting in music therapy: part I: who are the therapists, who are the clients, and why is songwriting used? Nordic Journal of Music Therapy, 17(2),  105-123",0,,17
40,"While prolonged exposure is considered one of the “gold standard” and recommended treatments for post traumatic stress disorder (PTSD), it has been poorly utilised in clinical practice. Individuals with PTSD often find it too distressing to confront memories, and therapists may be uncomfortable using the therapy. A new Emotional Processing Therapy is described in which an emotional approach to prolonged exposure provides individuals with a new insight into how trauma is processed. A conceptual analysis of exposure suggests that it is exposure to distressingemotional experienceswhich is a key element. Viewing it as an emotion-based therapy, allows the creative addition of new emotional elements. Through exploring the individual’s emotional processing style, previously learned and unhelpful patterns can be addressed, and the addition of an “emotional preparation” phase helps them understand why it is important to face emotionally distressing memories before exposure sessions begin. Emotional Processing Therapy is intuitive and makes sense to those affected by PTSD. It is framed in an emotional context and is presented as part of a lifestyle change that may reduce the likelihood of psychological problems developing in the future.","Roger Baker, Lisa Gale, Gareth Abbey, Sarah Thomas (2013).  Emotional Processing Therapy for post traumatic stress disorder Counselling Psychology Quarterly, 26(3/4),  362-385",1,,18
41,"INTRODUCTION: Continuous positive airway pressure (CPAP) is an effective treatment of obstructive sleep apnoea (OSA), but can be limited by poor adherence. In New Zealand (NZ), ethnicity has been shown to be a predictor of CPAP adherence. This study aimed to explore Maori, Pacific and NZ European patients' experience of CPAP treatment. METHODS: Patients identifying as Maori, Pacific, or NZ European ethnicity referred for CPAP treatment for OSA attended separate, 1.5-hour group discussions facilitated by a health care worker of the same ethnic group, using an interview template. Thematic analysis was applied to the discussion transcripts independently by two investigators, following published guidelines. FINDINGS: Five Maori, five Pacific, and eight NZ Europeans participated (mean age 47, range 30-71 years, mean ± standard deviation CPAP adherence 6.32 ±1.25 hours/night). Patients in all three groups reported that they had little knowledge of OSA or CPAP prior to treatment initiation. All groups identified barriers to treatment (both at the CPAP initiation phase and long term), reported feelings of being 'overwhelmed' with information during the initial CPAP education session, and discussed the importance of successful role models. Family and friends were generally reported as being supportive of CPAP therapy. CONCLUSION: The three groups all reported similar initial CPAP experiences, highlighting access barriers to publicly funded assessment and treatment pathways, and sleep health knowledge as key issues. Educational resources to improve access, enable self-management, and increase community awareness of OSA would help overcome some of the issues identified in this study.","Jessie P. Bakker, Karyn M. O'Keeffe, Alister M. Neill, Angela J. Campbell (2014).  Continuous positive airway pressure treatment for obstructive sleep apnoea: Māori, Pacific and New Zealand European experiences Journal of Primary Health Care, 6(3),  221-228",0,,19
44,"Background: Elements of voice content and characteristics of a hallucinatory voice are considered to be associated with compliance and resistance to auditory command hallucinations. However, a need for further exploration of such features remains. Aims: To explore the associations across different types of commands (benign, self-harm, harm-other) with a range of symptom measures and a trait measure of expressed compliance with compliance to the most recent command and command hallucinations over the previous 28 days. Methods: Participants meeting Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) criteria for schizophrenia or schizoaffective disorder, with auditory hallucinations in the previous 28 days were screened. Where commands were reported a full-assessment of positive symptoms, social-rank, beliefs about voices and trait compliance was completed. Results: Compliance with the last self-harm command was associated with elevated voice malevolence, heightened symptom presentation and perceived consequences for non-compliance. Compliance with the last harm-other command was associated with elevated symptom severity, higher perceived consequences for non-compliance and higher levels of voice social rank. However, these associations were not maintained for compliance during the previous 28 days. Conclusions: Findings indicate the importance of identifying the content of commands, overall symptom severity and core variables associated with compliance to specific command categories. The temporal stability of established mediating variables needs further examination.","A. L. Barrowcliff, G. Haddock (2010).  Factors affecting compliance and resistance to auditory command hallucinations: perceptions of a clinical population Journal of Mental Health, 19(6),  542-552",0,,20
45,"The issue of the role of HIV testing in HIV prevention is an important one. Some commentators have argued that HIV testing should be encouraged more widely on the grounds that it can stimulate behaviour change to safe sex and drug use. Testing has been advanced as an important means to control the epidemic. There is, however, insufficient evidence to support this contention at this time. The hypothesis of a link between HIV testing and behaviour change is based on the assumption of a linear relationship. It is argued that this assumption is based on two others, that the 'stimulus' of testing and counselling is uniform, and that information will be perceived and used by all recipients in an identical way. It is argued that there is currently insufficient research evidence to encourage more widespread testing on prevention grounds. Issues which should be considered in future research designs are discussed.","S. Beardsell (1994).  Should wider HIV testing be encouraged on the grounds of HIV prevention? AIDS Care, 6(1),  5-19",0,,21
47,"The authors examined the social problem of addictions and prostitution using a qualitative study with 15 adult women who were also in addictions treatment. Findings from the study suggest that prostitution is a rite of passage for many women from poor communities and their approach to life is one of passive externalization in which they are ambivalent about their immediate circumstances. Addiction contributes to prostitution, 'en-traps' many of the women in prostitution, and acts as barrier in escaping it. Suggestions are made regarding improved methods of practice with this population.","J. R. Belcher, S. Herr (2005).  Development of grounded theory: moving towards a theory of the pathways into street prostitution among low-income women Journal of Addictions Nursing (Taylor & Francis Ltd), 16(3),  117-124",0,,22
48,"This study examined gender differences in undergraduates' attributions for child sex offending. One hundred and sixty-four undergraduates were asked to give the reasons why they think men sexually offend against children and to rate them using Benson's Attributional Scale across four dimensions: stability, locus, controllability and globality. A Grounded Theory methodology was applied to these reasons and a set of nine categories derived from the data. The results showed that undergraduates' reasons for child sexual abuse strongly parallel contemporary scientific theories of abuse, and that there were significant gender differences in the frequency with which participants cited various types of reasons given for sexual abuse. Females endorsed significantly more victim reasons than males, and also more power and control reasons than did males. In contrast, males endorsed significantly more sexual reasons for offending than did females. Furthermore, significant gender differences were found between the ways in which participants construed the reasons for sexual abuse, with females seeing the phenomenon as significantly more stable and internal than males. No significant gender differences were found on the dimensions of controllability and globality.","J. Beling, S. M. Hudson, T. Ward (2001).  Female and male undergraduates' attributions for sexual offending against children Journal of Child Sexual Abuse, 10(2),  61-82",0,,23
49,"BACKGROUND: Transportation industry workers are at high risk for exposure to traumatic incidents in the workplace. A considerable number of those exposed to such incidents will develop post-traumatic stress disorder (PTSD) symptoms, which leads to high rates of absenteeism and are costly to the public transit corporation and workplace safety compensation insurance. OBJECTIVE: To determine whether the newly implemented Best Practice Intervention (BPI) provides superior outcomes when compared with Treatment-as-Usual (TAU) interventions in improving workers' rates of return to work (RTW), decreasing duration of time lost from work and overall reduction in severity of PTSD symptoms 6 months after exposure. METHODS: A sequential mixed methods approach was used with qualitative analysis followed by a pre-post intervention design. Sixty-two participants were recruited to the (TAU) phase of the study and 79 to the (BPI) phase. RESULTS: Significant differences were observed between the TAU and BPI groups in number of lost work days (TAU: 20 days vs. BPI: 52 days, p = 0.02). PTSD symptoms decreased with time (MPPS score: 51.3 vs. 24.35; p < 0.001). One-fifth of the participants (21 %) did not return to work by the end of the 6 months follow-up period. CONCLUSIONS: The study demonstrated the value of workplace interventions in improving awareness of psychological symptoms after exposure to a traumatic incident and the value of screening for PTSD symptoms.","Ash Bender, Rahel Eynan, John O'Grady, Rosane Nisenbaum, Ravi Shah, Paul S. Links (2016).  Best practice intervention for post-traumatic stress disorder among transit workers Work, 54(1),  59-71",1,,24
50,"Sleep is a basic activity of living. Its restorative properties in healthcare settings--both hospital and community--should be considered by healthcare workers. Its significance in gerontological nursing should not be underestimated. As older people are prone to multiple pathology, disease processes may mask their need for effective sleep and rest. 'Sleep architecture' is a term that applies to the mechanics of sleep or its stages and clinicians may fail to identify when this is disrupted. 'Sleep hygiene' refers to measures or interventions used to promote sleep and a person-centred approach is necessary, with support from specialist agencies to achieve effective sleep hygiene. The need for long periods of sleep may diminish owing to ageing. However, the quality of the sleep experiences, i.e. feeling rested and refreshed, should be the same. Several factors have been identified in the causation of insomnia. In healthcare settings, environmental factors such as noise and light pollution are the commonest features. Other issues that may be present in both healthcare and community settings are related to varied perspectives, such as physiological, psychological and spiritual-religious. Providing a climate conducive to healthy sleep in all settings becomes a requisite in the planning of care.","G. Béphage (2005).  Clinical skills. Promoting quality sleep in older people: the nursing care role British Journal of Nursing, 14(4),  205-210",0,,25
51,"Objective: This study assessed the stress reactions of a submarine crew forced to abandon their vessel in high seas after flooding and fire damaged their ship.Methods: The remaining crew members (n = 22) were surveyed 7 months after the incident regarding exposures, initial emotional responses, peritraumatic dissociation, subsequent life events, current safety appraisal, and current symptoms of posttraumatic stress disorder (PTSD) and depression.Results: At 7 months, 9.1% met criteria for PTSD and none met criteria for depression. Higher levels of depressive symptoms were associated with previous traumatic exposures, subsequent life events, and higher levels of PTSD symptoms; higher levels of PTSD symptoms were associated with greater peritraumatic dissociation and initial emotional response.Conclusion: Acute exposures of highly trained professionals to potentially fatal events may not result in high levels of posttraumatic symptoms. Previous and subsequent life events may play a more significant role in the level of postdisaster symptoms.","J. S. Berg, T. A. Grieger, J. L. Spira, Jennifer S. Berg, Thomas A. Grieger, James L. Spira (2005).  Psychiatric symptoms and cognitive appraisal following the near sinking of a research submarine Military Medicine, 170(1),  44-47",0,,26
52,"It is important for medical-surgical nurses to be competent in assessing and evaluating violent and aggressive psychiatric patients admitted for other than psychiatric problems. The clinical manifestation of psychiatric patients' violent and aggressive behaviors in relation to their psychiatric disorders, their management by using the framework of nursing process, and practice implications regarding intervention and treatment are described.","K. S. Bernstein, J. P. Saladino (2007).  Clinical assessment and management of psychiatric patients' violent and aggressive behaviors in general hospital MEDSURG Nursing, 16(5),  301-310",0,,27
53,"The aim of this study was to investigate the use of the Occupational Therapy Adult Perceptual Screening Test (OT-APST) as a screening tool of visual perception among people with dementia. The study compared the performance of twenty-five people with dementia with a normative sample of 150 people on the OT-APST. The dementia sample was found to perform significantly worse than the normative sample on all subscales of the OT-APST. Fair to moderate correlations were found between performance on each of the OT-APST subscales and dementia severity. The OT-APST may be useful in determining areas of difficulty and strength, allowing for more effective, individualised care for people with dementia. Results should be interpreted cautiously however given the demonstrated impact of declining cognitive skills on OT-APST performance in people with dementia.","A. Bialy, K. McKenna, D. M. Cooke (2007).  Performance of people with dementia on the Occupational Therapy Adult Perceptual Screening Test (OT-APST) Physical & Occupational Therapy in Geriatrics, 26(2),  1-21",0,,28
