X,title,abstract,authors,Included,doi,ID
1,What Teacher Knowledge Matters in Effectively Developing Critical Thinkers in the 21 st Century Curriculum?,"As the key agents of change in educational reforms, it is teachers who are seen as central to effecting change; this is no different in the curricular aim of developing critical thinkers found in numerous educational reforms across the world. One of the key assumptions behind such curricular reforms aimed at developing critical thinking in schools seems to be that teachers would somehow have the required knowledge and capacity to teach critical thinking successfully as envisaged in educational policies. However, research suggests that this is not necessarily the case and that teachers' knowledge in critical thinking teaching has to be developed in an explicit and systematic manner. Stemming from a qualitative case study on teacher knowledge in the context of implementing a curriculum that explicitly aims to develop critical thinking, a revised framework of teacher knowledge is proposed. This framework, which was emergent in the analysis of the study data, offers possibilities as a more complete heuristic and analytical tool to help understand the complexity and dynamics of teacher knowledge in teaching critical thinking. Moreover, it could help pave the way to better understand the various knowledge domains that need to be purposefully and systematically developed by schools and teacher education institutions to support teachers in their vital work of developing critical thinkers in the classroom successfully for life and work in the 21 st century. (C) 2016 Elsevier Ltd. All rights reserved.","Ab Kadir, M. A.",0,10.1016/j.tsc.2016.10.011,1
2,,"A dialog system or a conversational agent provides a means for a human to interact with a computer system. Dialog systems use text, voice and other means to carry out conversations with humans in order to achieve some objective. Most dialog systems are created with specific objectives in mind and consist of preprogrammed conversations. The primary objective of this dissertation is to show that dialogs can be dynamically generated using semantic technologies. I show the feasibility by constructing a dialog system that can be specific to control physical entry points, and that can withstand an attempt to misuse the system by playing back previously recorded conversations. As a solution my system randomly generates questions with a pre-specified difficulty level and relevance, thereby not repeating conversations. In order to do so, my system uses policies to govern the entrance rules, and Item Response Theory to select questions derived from ontologies relevant to those policies. Furthermore, by using contextual reasoning to derive facts from a chosen context, my dialog system can be directed to generate questions that are randomized within a topic, yet relevant to the task at hand. My system design has been prototyped using a voice interface. The prototype demonstrates acceptable performance on benchmark data.","Ababneh, Mohammad",0,,2
3,,"Collective behavior of animal groups, such as bird flocks and fish schools, is an emergent phenomenon characterized by spatial patterns and synchronized motion of individuals. Animal groups comprising thousands of members are able to coordinate their positions and movements based on simple, local interactions among peers rather than in response to a single leader. Due to the distribution of information gathering and sharing among the group, individuals benefit from many aspects of social life, including protection from predators, efficient locomotion, and ease of foraging. Mathematical modeling of this phenomenon has garnered interest in the study of distributed systems, due to the efficiency and robustness of synchronization observed in nature. Individual-based modeling of distributed systems has yielded simulation results that bear striking resemblance to various modes of behavior observed in animal groups, including highly polarized movements and circular milling. In considering animal groups as a collection of individuals, the topology of interactions among group mates plays a pivotal role in the agreement of individuals on a common state. In fact, consensus protocols, which are updating algorithms widely used to model the synchrony characteristic in collective behavior, rely heavily on the underlying topology of interactions among individuals. In this dissertation, we present a biologically-inspired mathematical model of collective behavior and we develop both numerical and experimental techniques to test the ability of such models to mimic biological systems. The model is inspired by psychological limitations on the perception of numbers, known as numerosity, which have been shown to play an important role in the collective behavior exhibited by animal groups. We incorporate this limitation into an individual-based behavioral model of group motion, which we explore in a simulation study. The numerosity constraint is also translated into a network model of interaction, over which we analytically derive conditions for the consensus of agents comprising homogenous peers or groups of leaders and followers. Moreover, we generalize the numerosity constraint to a network model that encompasses many relevant networks in the consensus literature, thus extending the applicability of these results. To assess complexity in a model of collective behavior, we adopt numerical methods using a machine-learning algorithm for dimensionality reduction of large-scale data sets. In addition, we conduct a variety of animal experiments using both robotic fish and computer-animated images as stimuli. Such experimental techniques are proposed as viable options for assessing the ability of a model to reproduce the complex collective behaviors observed in animal groups.","Abaid, Nicole",0,,3
4,Men's Responses to Women's Sexual Refusals: Development and Construct Validity of a Virtual Dating Simulation of Sexual Aggression,"Objective: To provide evidence regarding the construct validity of a sexual aggression proxy in which male participants go on multiple virtual dates with a woman. A unique strength of this proxy is participants' opportunity to make choices throughout the simulation about how they interact with their virtual date. These decisions determine their exposure to the female agent's sexual refusals. Method: Piloting included focus groups (n = 82), surveys (n = 95), and cognitive interviews (n = 32). To establish construct validity, 87 male participants completed 2 separate sessions: a) an online survey with measures of discriminant and convergent validity; and b) a lab session in which they went on multiple dates that included nonsexual options, sexual options that the female agent accepted, and sexual options she refused. Sexual aggression was operationalized as the total number of sexual refusals that participants' received. Results: There was strong correlational evidence for discriminant and convergent validity. As hypothesized, there were some differences in the risk factors associated with refusals received on casual as compared to steady dates. Additionally, the number of refusals received was associated with the types of thoughts and actions commonly reported by perpetrators. Conclusions: This simulation provides a new approach for examining sexual aggression in controlled experiments that vary factors within the simulation such as the man's and woman's intoxication and past sexual history. Because what happens is based on each individual's responses, it could be adapted for use in prevention and treatment programs.","Abbey, A.",0,10.1037/vio0000078,4
8,Novel approach to study the perception of animacy in dogs,"Humans tend to perceive inanimate objects as animate based on simple motion cues. So far this perceptual bias has been studied mostly in humans by utilizing two-dimensional video and interactive displays. Considering its importance for survival, the perception of animacy is probably also widespread among animals, however two-dimensional displays are not necessarily the best approach to study the phenomenon in non-human species. Here we applied a novel method to study whether dogs recognize a dependent ( chasing-like) movement pattern performed by inanimate agents in live demonstration. We found that dogs showed more interest toward the agents that demonstrated the chasing-like motion, compared to those that were involved in the independent movement. We suggest that dogs spontaneously recognized the chasing-like pattern and thus they may have considered the interacting partners as animate agents. This methodological approach may be useful to test perceptual animacy in other non-human species.","Abdai, J.",0,10.1371/journal.pone.0177010,5
11,,"Cloud computing is becoming increasingly popular among organizations. The Infrastructure as a Service (IaaS) cloud computing model has become an attractive solution because of the ability of reducing costs and improving resource utilization. Such cloud services are expected to be always available and reliable as per the Service Level Agreements (SLA) between the cloud service providers (CSPs) and their customers. Cloud ecosystems have also become attractive targets to attackers because of the massive amount of data residing on the cloud as well as the massive processing power that can be recruited for malicious intent. Thus, security is a very critical task in cloud ecosystems and the need of continuous security monitoring in the cloud is mandatory for detecting malicious activities. This dissertation addresses the problem of online malware detection in cloud auto-scaling systems using performance metrics. First, we review the current state-of-the-art malware detection techniques in general with a focus on techniques that target cloud IaaS, specifically virtual machines (VMs). We find that malware detection techniques that target VMs lack taking advantage of cloud unique characteristics. Those techniques can be applied to VMs as well as stand alone servers with nothing specific about cloud. We then propose a malware detection framework that leverages cloud unique characteristics (i.e. auto-scaling) using black-box features (performance metrics), where data are collected from outside the VMs by the hypervisor in an auto-scaling scenario (e.g. three-tier web architecture with scalability in place). Our approach assumes no prior knowledge of the installed applications on the VMs. In this work, a modified version of sequential K-means clustering algorithm is used to group similar VMs based on workloads (e.g. applications servers, web servers and database servers are three different groups). Then, malware is detected as anomalies when one VM of the same group exceeds a certain threshold. Despite showing that highly active malware (e.g. ransomware) can be effectively detected by inspecting the performance and resource utilization metrics of VMs as a black-box, this approach is not as effective for detecting malware that maintains a low profile of resource utilization. Accordingly, we propose a white-box approach (where data are obtained from inside the VMs by either the hypervisor or pre-installed agents) for detecting such malware using 2d and 3d Convolutional Neural Networks (CNN). 3d CNN classifiers are introduced to partially mitigate the underestimated mislabeling problem. The developed white-box approach achieved good results; however, it works only for single VMs. To leverage auto-scalability, we extended the previous approach to handle multiple VMs and introduced a new approach based on paired samples to accommodate for correlations between VMs. We evaluate the proposed approaches on synthetic data collected from our OpenStack (a popular open-source cloud IaaS software) testbed based on a standard 3-tier web architecture with the ability to scale-up (when multiple copies of the server are spawned) and scale-down (where the number of copies are reduced) on demand.","Abdelsalam, Mahmoud",0,,6
12,Exploiting Small World Problems in a SIoT Environment,"Internet of Things (IoT) has been at the center of attention among researchers for the last two decades. Their aim was to convert each real-world object into a virtual object. Recently, a new idea of integrating the Social Networking concept into the Internet of Things has merged and is gaining popularity and attention in the research society due to its vast and flexible nature. It comprises of the potential to provide a platform for innovative applications and network services with efficient and effective manners. In this paper, we provide the sustenance for the Social Internet of Things (SIoT) paradigm to jump to the next level. Currently, the SIoT technique has been proven to be efficient, but heterogeneous smart devices are growing exponentially. This can develop a problematic scenario while searching for the right objects or services from billions of devices. Small world phenomena have revealed some interesting facts and motivated many researchers to find the hidden links between acquaintances in order to reach someone across the world. The contribution of this research is to integrate the SIoT paradigm with the small world concept. By integrating the small world properties in SIoT smart devices, we empower the Smart Social Agent (SSA). The Smart Social Agent ensures the finding of appropriate friends (i.e., the IoT devices used by our friend circle) and services that are required by the user, without human intervention. The Smart Social Agent can be any smart device in SIoTs, e.g., mobile phones.","Abdul, R.",0,10.3390/en11082089,7
17,,"Background and purpose: Ischaemic stroke patients with atrial fibrillation (AF) are at risk of early recurrent stroke (RS). However, antithrombotics commenced at the acute stage may exacerbate haemorrhagic transformation, provoking symptomatic intracerebral haemorrhage (SICH). The relevance of antithrombotics on the patterns and outcome of the cohort was investigated. Methods: A non‐randomized cohort analysis was conducted using data obtained from VISTA (Virtual International Stroke Trials Archive). The associations of antithrombotics with the modified Rankin Scale (mRS) outcome and the occurrence of RS and SICH (each as a combined end‐point of fatal and non‐fatal events) at 90 days for post‐stroke patients with AF were described. Dichotomized outcomes were also considered as a secondary end‐point (i.e. mortality and good outcome measure at 90 days). Results: In all, 1644 patients were identified; 1462 (89%) received antithrombotics, 157 (10%) had RS and 50 (3%) sustained SICH by day 90. Combined antithrombotic therapy (i.e. anticoagulants and antiplatelets), 782 (48%), was associated with favourable outcome on ordinal mRS and a significantly lower risk of RS, SICH and mortality by day 90, compared with the no antithrombotics group. The relative risk of RS and SICH appeared highest in the first 2 days post‐stroke before attenuating to become constant over time. Conclusions: The risks and benefits of antithrombotics in recent stroke patients with AF appear to track together. Early introduction of anticoagulants (2–3 days post‐stroke), and to a lesser extent antiplatelet agents, was associated with substantially fewer RS events over the following weeks but with no excess risk of SICH. More evidence is required to guide clinicians on this issue. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Abdul‐Rahim, A.",0,http://dx.doi.org/10.1111/ene.12577,8
25,,"Cardio-embolic stroke accounts for nearly a third of all ischaemic strokes. The most clinically important cardio-embolic sources are non-valvular atrial fibrillation (AF) and chronic heart failure. Strokes due to these conditions are associated with greater disability and more mortality, as compared to stroke of other aetiology. This thesis is aimed at addressing some of the challenges faced by clinicians when dealing with stroke in patients with AF or heart failure, using an extensive range of historical data. Chapter 1 provides an introduction to stroke, AF and heart failure, including current prevalences, aetiology, and their complex intertwine relationship. The current acute stroke management in patients with AF or heart failure is also outlined within the chapter. In chapter 2, the data sources and statistical methods that were common to the studies in the thesis are outlined. The justifications of using historical data in the absence of evidence from robust clinical trials are also detailed. Chapter 3 explores the relevance of antithrombotic treatment on patterns and outcomes of acute stroke patients with AF. A non-randomised cohort analysis was conducted using data from the Virtual International Stroke Trials Archive (VISTA). The associations of antithrombotic treatment with the modified Rankin scale (mRS) outcome, and the occurrence of recurrent stroke and symptomatic intracerebral haemorrhage, at 90 days after stroke were described. Combined sequential antithrombotic therapy (i.e. oral anticoagulant and antiplatelet treatment), was associated with favourable outcome on ordinal mRS and significantly lower risk of recurrent stroke, symptomatic intracerebral haemorrhage and mortality by day 90, compared to the patients who did not receive any antithrombotic treatment. The relative-risk of recurrent stroke and symptomatic intracerebral haemorrhage appeared highest in the first 2 days after stroke before attenuating to become constant over time. Thus, early introduction of oral anticoagulant treatment (2-3 days after stroke), and to a lesser extent antiplatelet agents, was associated with substantially fewer recurrent stroke events over the following weeks but with no excess risk of symptomatic intracerebral haemorrhage. Chapter 4 seeks to describe the current prescribing patterns in stroke survivors with AF, with particular emphasis on socio-demographic associations. A cross-sectional analysis of city-wide Glasgow primary care data for the year 2010, was conducted. This chapter highlights that oral anticoagulant treatment was under-used in this high risk population, especially those of older age and affected by deprivation. Strategies need to be developed to improve prescription of oral anticoagulant treatment. Chapter 5 investigates the incidence of stroke within the available heart failure trials spanning a 30 year period, according to AF status at baseline. Individual patient data were pooled from 11 trials conducted in patients with heart failure and reduced ejection fraction (HF-REF); and, 3 trials performed in patients with heart failure and preserved ejection fraction (HF-PEF). Stroke incidence has not significantly declined over time in patients with HF-REF enrolled to trials, despite greater use of evidence-based heart failure and oral anticoagulant therapies. However, anticoagulation proportions remain under 70% among HF-REF patients with documented AF. Similar trends of stroke incidence were observed for patients enrolled in HF-PEF trials. Some patients with heart failure but without atrial fibrillation may be at high risk of stroke and may potentially benefit from oral anticoagulant treatment. Chapter 6 provides a comprehensive description of the current incidence of and risk factors for stroke in patients with HF-REF but without AF. Data from two large and contemporary heart failure trials, the Controlled Rosuvastatin in Multinational Trial Heart Failure (CORONA) and the Gruppo Italiano per lo Studio della Sopravvivenza nell'Insufficienza cardiac- Heart Failure trial (GISSI-HF), were pooled to ena","Abdul-Rahim, Azmil H.",0,,9
26,On the use of dance notation systems to generate movements in humanoid robots: The utility of Laban notation in robotics,"This article raises the issue of collaboration between the field of dance and that of robotics. Dance notation systems are developed in the choreographic field as a method to describe and record human movements. Translating movements into symbols is of particular concern for computer science and robotics, which are interested in generating anthropomorphic motions in robots or animated avatars. We examine different research projects on the use of Laban notation for this purpose, and present our own attempt at generating dance movements in a humanoid robot from a Laban score. We discuss the interests and difficulties related to the use of a dance notation system in a robotic context.","Abe, N.",0,10.1177/0539018417694773,10
