X,authors,title,abstract,Included,ID
1,"Alarcão, V., et al. (2015",Exploring gender in Portuguese bedrooms: Men’s and women’s narratives of their sexuality through a mixed methods approach.,"The nature of intimacy and self-identity changed profoundly over the past century. The disruption between sex and procreation enabled the emergence of new forms of relationships and contributed towards the legitimacy of a sexuality focused on pleasure, as a mean of self-realization and an expression of intimacy. Despite the evidence that most individuals now approach close relations with expectations of mutual emotional support and romantic love, intimate relationships remain highly gendered, particularly in societies where traditional roles of men and women persist in the growing diversity of sexual relationships. To address this topic, an empirical research was conducted in the Greater Lisbon area using a mixed methods approach. First, a quantitative study, with 323 primary healthcare users, intended to explain how gender influences self-constructions of sexuality and intimacy. Then, a qualitative study, with a subsample of 10 heterosexual men and 15 heterosexual women, employed in-depth interviews to explore how individuals construct their etiquette of sexual behavior. Building upon Gagnon and Simon's scripting theory and Giddens' transformations of intimacy, along with feminist criticisms concerning male dominance in hetero-relationships, we have reached an explanatory typology that focuses on Portuguese specificity in terms of the subjective experience of sexuality and intimate relationships. Sexuality and intimacy are complex and multifaceted phenomena that are affected by sexual and non-sexual factors, both in and out of the bedroom. Key findings reveal a coexistence of highly gendered sexual scripts with increasingly more egalitarian sexual roles, namely among the youngest and the most educated generations in Portuguese society. Â© 2015, University of Surrey. All rights reserved.",1,1
2,"Alexander, M. G. and T. D. Fisher (2003",Truth and consequences: Using the bogus pipeline to examine sex differences in self-reported sexuality.,"Men report more permissive sexual attitudes and behavior than do women. This experiment tested whether these differences might result from false accommodation to gender norms (distorted reporting consistent with gender stereotypes). Participants completed questionnaires under three conditions. Sex differences in self-reported sexual behavior were negligible in a bogus pipeline condition in which participants believed lying could be detected, moderate in an anonymous condition, and greatest in an exposure threat condition in which the experimenter could potentially view participants' responses. This pattern was clearest for behaviors considered less acceptable for women than men (e.g., masturbation, exposure to hardcore and softcore erotica). Results suggest that some sex differences in self-reported sexual behavior reflect responses influenced by normative expectations for men and women. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,2
3,"Ali-Faisal, S. F. (2014",Crossing sexual barriers: The influence of background factors and personal attitudes on sexual guilt and sexual anxiety among Canadian and American Muslim women and men.,"Sexual health is a key component of health and well-being, yet, to date, very little research has been done exploring the sexual health of non-majority individuals. This study addresses this lack by exploring the impact of background and attitudinal factors on the sexual guilt and sexual anxiety of young Muslim men and women in North America. Sexual guilt and anxiety have been found to have negative consequences on the sexual lives of individuals and to be related to conservative attitudes regarding sexuality. As Muslims' attitudes regarding sex and sexuality are often conservative, at times even restrictive, sexual guilt and sexual anxiety may be a problem faced by many Muslims in North America. Yet the religious restrictions on unsanctioned sexual activities may be enforced by sexual guilt and anxiety. Using path analysis, the current study investigated the religiosity, sexual attitudes, perceived parental sexual attitudes, belief in the sexual double standard, gender role attitudes, gender, and sexual experience and their relationship to sexual guilt and anxiety. Questionnaires were administered online and 403 young Muslim adults from across Canada and the United States participated. Two path models were tested proposing that religiosity, perceived parental sexual attitudes, and gender would predict sexual guilt and anxiety indirectly through the mediation of sexual attitudes, belief in the sexual double standard, and gender role attitudes. These models did not fit the data and were therefore re-specified and tested. The final, best fitting models found religiosity to both directly and indirectly influence sexual guilt and anxiety while sexual attitudes, belief in the sexual double standard, and gender role attitudes partially mediated this relationship. Gender role attitudes strongly determined participants' support for the sexual double standard, while gender was not a predictor of sexual guilt or anxiety. Perceived parental attitudes had no predictive value, possibly being redundant with religiosity. Finally, sexual experience directly and indirectly influenced sexual guilt and anxiety with sexual attitudes partially meditating this relationship. The path models revealed complex and interesting relationships between the variables. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,3
4,"Allison, R. and B. J. Risman (2013",A double standard for ,"While sexual attitudes have liberalized in the past half century, research is mixed as to whether attitudes have become less gendered over time. Recent studies on college students' sexual and romantic relationships suggest that a sexual double standard continues to organize sexuality on many campuses. Data from the Online College Social Life Survey shed light on students' evaluation of casual sex, or ""hooking up."" In addition to exploring gendered attitudinal patterns, we use gender structure theory to explore how individual characteristics and normative expectations of campus group affiliations shape attitudes. While three quarters of students do not hold different standards for men and women's hooking up, attitudes are more conservative than liberal, with almost half of students losing respect for men and women who hook up ""a lot."" However, men are more likely to hold a traditional double standard, while women are more likely to espouse egalitarian conservative attitudes. Individual characteristics, including age, religion, race, social class and sexual orientation are frequently related to sexual attitudes, as are number of hook ups, fraternity/sorority affiliation and varsity athletic participation. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,4
5,"Alves, M. P., et al. (2008",Gender and social representations: Dual sexual pattern as a function of religion and political opinion.,"The non-experimental study presented sought to identify and characterize pre-matrimonial sexual standards at an individual and social level and analyze these norms as a function of sex, religion and political opinion in a sample of 308 graduate students. The results point to the adherence to the double standard at an individual level in a tenuous form, gathering more consensus in its social form, i.e. in the perception of moral duplicity within the judgments and evaluations of sexual behavior by society in general. The analysis of the influence of religion and political opinion on social representations of pre-matrimonial sexuality highlighted the fact that, despite religious factors and conservative political opinions are negatively associated to experience and permissiveness of sexual attitudes, there is a common tendency within religious and political groups towards the adherence to the sexual double-standard both at an individual and social form. The implications of results are discussed within the framework of social representations theory and gender. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,5
6,"Anderson, C. (2012",An examination of the effects of the sexual double standard on college students' condom use.,"Men and women have historically been held to different standards regarding sexual behavior, known as the sexual double standard. Women have typically been judged more harshly than men for engaging in similar sexual behavior. Both genders report higher levels of sexual activity and more liberal attitudes since the 1940s. Males historically report engaging in more sexual activity than females. However, current studies indicate both genders are engaging in similar levels of sexual activity, although men continue to report slightly higher levels. It is unclear whether attitudes and judgments related to gender and sexuality have kept pace with reported behavior changes. The documented increase in sexual activity for men and women has coincided with a dramatic increase in sexually transmitted diseases (STDs). Consistent condom use during all forms of sexual activity has been recommended as the most reliable method of pregnancy and STD prevention. However, many individuals report inconsistent condom use. The purpose of the current study is to investigate the potential role the sexual double standard may play in the inconsistent use of condoms in college women. Undergraduate students were asked to read one of three vignettes (male provides condom, female provides condom, no condom was used) in which a casual sexual encounter was described. After reading the vignette, participants completed adjective ratings of the vignette actors, as well as measures of attitudes toward gender and sexuality, sexual history, and demographics. Contrary to expectations, results indicated that females were judged to be more likeable when she provided the condom compared to when no condom was used and more diplomatic when she provided the condom when compared to when no condom was used or when the male provided the condom. Males were equally liked across all condom conditions, and were rated as more diplomatic when providing the condom versus when no condom was used. Unexpectedly, neither judgments of the vignette actors nor attitudes toward gender and sexuality were predictive of personal sexual history. These findings suggest that gender differences in sexual behavior may be quite small, and that standards for sexual behavior are more equal than has been previously documented. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,6
7,"Andres, D., et al. (1983",Selected psychosocial characteristics of males: Their relationship to contraceptive use and abortion.,"111 men whose partners were either receiving an early 1st-trimester abortion or obtaining contraception were compared on personality characteristics, attitudes toward sex-related topics, and variables describing their relationship with their partners. Questionnaires administered included the Traditional Sex-Determined Role Standards Scale, Attitude toward Sex in General Scale, Premarital Contraceptive Attitude Instrument, the Attitude toward Abortion Scale, and the Differential Personality Inventory. As predicted, the major differences between these groups were in the areas of attitudes and sexual relationship with partner. Ss in the contraceptive group expressed more liberal attitudes toward sex and contraceptive practices as well as a higher frequency of coitus than Ss in the abortion partner group. Data were further analyzed by dividing the abortion partner group into those who had used contraception in the past and those who had not. The finding that more conservative attitudes toward sex-related topics were held by the noncontracepting Ss, particularly those involved with an abortion, supports D. Byrne's (1983) theoretical formulations concerning the importance of attitudes in determining contraceptive behavior. (35 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,7
8,"Anisimowicz, Y. and L. F. O’Sullivan (2017",Men’s and Women’s Use and Creation of Online Sexually Explicit Materials Including Fandom-Related Works.,"The Internet and mobile computing have been highly influential in shaping the modern technological era and subsequently the production of and access to online sexually explicit materials (SEM). Fandomâthe realm of fans sharing a common interestâhas also adapted to the Internet, which has changed how fans access and distribute fanworks (i.e., material created by fans such as stories and art), many of which contain SEM. The current study examined gender differences in the use and creation of online SEM by surveying 468 men and 347 women (ages 18 or older; mean ageÂ =Â 33.8Â years) residing in North America. Participants completed anonymous measures assessing demographic information, experiences using and creating online SEM, and measures of related sexual attitudes. Use of online SEM was widely reported by participants, with men (87.8Â %) indicating more use than with women (67.4Â %). As expected, few participants reported creating online SEM (3.6Â % of men, 4.9Â % of women). Men and women reported similar levels of preferred sexual explicitness in the online SEM that they used. There were no significant gender differences in the use of fanworks reported by men (14.3Â %) and women (14.7Â %) or in the creation of fanworks (1.5Â % of men, 3.2Â % of women). Fandom-related online SEM use was predicted only by more permissive sexual attitudes (one of eight predictors). Although there were many similarities between menâs and womenâs use of online SEM, some gender differences were found in their motives for online SEM use. Findings are discussed in terms of the context in which men and women experience online SEM. Â© 2016, Springer Science+Business Media New York.",1,8
9,"Ankomah, A. (1998",Condom use in sexual exchange relationships among young single adults in Ghana.,"This article discusses some personal and situational factors which hinder the use of condoms among young single adults ages 18 to 25 years engaged in sexual exchange relationships in a Ghanaian town. Based on focus group discussions and in-depth interviews, this article highlights some key impediments often not adequately discussed in the discourse on condom use but considered vital in any attempt to increase condom use and ultimately reduce HIV transmission. This includes the dilemma facing women who want to use condoms for HIV prevention in premarital sexual exchange relationships (quite different from prostitution) contracted with material gain in mind. Women may face the risk of losing material benefits from sexual exchange relationships if the man is unwilling to use condoms. It is recommended that HIV health educators must increase the involvement of young single adults in exploring these and situational impediments and together design interventions to improve condom use. Focus group discussions and in-depth interviews conducted in Cape Coast, Ghana, revealed significant obstacles to condom use among single women 18-25 years of age. Most female respondents were self-employed small-scale traders with low incomes, while male participants tended to be clerks or fishermen. In this society, men are considered the source of economic and physical power and in a position to demand sexual favors. Material recompense (e.g., money, food, or clothing) for premarital sex is standard practice outside the commercial sex work establishment and women often switch rapidly from relationship to relationship in search of a more materially rewarding arrangement. Such behavior is condoned--often encouraged--by young women's mothers. Condom use is rare and associated with infidelity. Thus, Ghanaian women face the dilemma of choosing between economic survival and unsafe sex. Since men perceive condoms as reducing sexual sensitivity, they are unlikely to remain with a partner who insists on condom use. Moreover, sexual relationships are embedded in an atmosphere of fear of violence. If women are to insist on condom use, they must believe the risk of HIV infection is not adequately compensated by the material gains received from the sexual encounter. It is recommended that community-level HIV preventive interventions target men with messages about the importance of trying condom use. Ultimately, however, reconstruction of gender-based power relationships and improvements in women's economic status are essential to reduce women's dependence on sexual networking.",1,9
10,"Antonovsky, H. F., et al. (1980",Gender differences in patterns of adolescent sexual behavior.,"Findings of a questionnaire survey of sexual attitudes and behavior of a large nationwide sample of Israeli adolescents (N = 410) show clear gender differences in patterns of sexual behavior even among kibbutz adolescents who express very permissive attitudes toward premarital coitus and live under conditions that provide easy access to potential sexual partners. Permissive conditions increase rates of coitus among female adolescents, but this sexual experience occurs within the framework of an emotionally involving relationship. Kibbutz girls who report coital rates equal to those of kibbutz and nonkibbutz boys (about 40%) have their first coital relationship with a steady boyfriend with whom they are in love and continue having sexual relations with the same partner. This pattern is similar to that of nonkibbutz females, who report much lower rates of coitus (14%). Males do not necessarily have sexual relations in the context of an emotional relationship. Findings are interpreted in terms of patterns of sex-role socialization. (21 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,10
