X,title,abstract,authors,Included,doi,ID
4,The efficacy of Acceptance and Commitment Therapy: An updated systematic review and meta-analysis,"Acceptance and Commitment therapy (ACT) has attracted a lot of interest during the last 10-15 years with a strong increase of the number of randomized controlled trials (RCTs). The present review and meta-analysis includes 60 RCTs (4234 participants) on psychiatric disorders, somatic disorders, and stress at work. The mean effect size across all comparisons was small (0.42). Compared to the Ã–st (2008) meta-analysis there was no significant improvement in methodological quality and deterioration in effect size (from 0.68). When ACT was compared to various forms of cognitive or behavioral treatments a small and non-significant effect size of 0.16 was obtained. An evidence-base evaluation showed that ACT is not yet well-established for any disorder. It is probably efficacious for chronic pain and tinnitus, possibly efficacious for depression, psychotic symptoms, OCD, mixed anxiety, drug abuse, and stress at work, and experimental for the remaining disorders. Â© 2014 Elsevier Ltd.",Ã–st L.-G.,1,10.1016/j.brat.2014.07.018,1
5,An intervention with firefighters to promote psychological occupational health according to the job demands-resources model [Una intervenciÃ³n con bomberos para promover la salud psicolÃ³gica en el trabajo siguiendo el modelo de demandas y recursos laborales],"This study reports an intervention programme to promote job resources (social support) to increase firefighters' psychological well-being (burnout and engagement), using the Job Demand-Resource Model as the theoretical model. Participants were firefighters from an elite Portuguese organization. The intervention consisted of a leadership stress management workshop for middle supervisors that lasted 21 hours spread over 3 days. The intervention group (n = 67) were subordinates whose immediate supervisors participated in the workshop, and the control group (n = 37) were subordinates whose supervisors did not. All participants filled out questionnaires before the workshop and 4 months after. The repeated measures ANOVA revealed as expected that Time x Intervention interaction increased colleagues' social support, and marginally also increased firefighters' vigor. However, contrary to expected the intervention also increased chronic demands. Discussion focuses on the importance of understanding the process underpinning change in occupational stress management interventions, especially in emergency professionals. Â© 2013 by FundaciÃ³n Infancia y Aprendizaje.","Ã‚ngelo R.-P., Chambel M.",1,10.1174/021347413806196753,2
7,The effects of worksite stress management intervention on changes in coping styles,"In this study the effects of a worksite stress management intervention on changes in coping styles were examined. Ninety-five participants were randomly assigned to an experimental group participating in the intervention or to a control group with a delayed intervention. The stress management intervention was structured on enhancing so-called positive coping styles focused on problem solving and social diversion and on decreasing negativeâ€”emotion-focused and distractionâ€”coping. The results showed that in the experimental group the level of positive coping styles significantly increased. The effect of decreased negative coping styles due to the intervention was observed only in the group of participants with a high level of negative affectivity. Â© 2002 Taylor and Francis Group, LLC.",Å»oÅ‚nierczyk-Zreda D.,1,10.1080/10803548.2002.11076548,3
18,Battlemind Debriefing and Battlemind Training as Early Interventions With Soldiers Returning From Iraq: Randomization by Platoon,"Researchers have found that there is an increase in mental heath problems as a result of military-related traumatic events, and such problems increase in the months following return from combat. Nevertheless, researchers have not assessed the impact of early intervention efforts with this at-risk population. In the present study, the authors compared different early interventions with 2,297 U.S. soldiers following a year-long deployment to Iraq. Platoons were randomly assigned to standard postdeployment stress education, Battlemind debriefing, and small and large group Battlemind training. Results from a 4-month follow-up with 1,060 participants showed those with high levels of combat exposure who received Battlemind debriefing reported fewer posttraumatic stress symptoms, depression symptoms, and sleep problems than those in stress education. Small group Battlemind training participants with high combat exposure reported fewer posttraumatic stress symptoms and sleep problems than stress education participants. Compared to stress education participants, large group Battlemind training participants with high combat exposure reported fewer posttraumatic stress symptoms and lower levels of stigma and, regardless of combat exposure, reported fewer depression symptoms. Findings demonstrate that brief early interventions have the potential to be effective with at-risk occupational groups. Â© 2009 American Psychological Association.","Adler A.B., Bliese P.D., McGurk D., Hoge C.W., Castro C.A.",1,10.1037/a0016877,4
20,A group randomized trial of critical incident stress debriefing provided to U.S. peacekeepers,"In a group randomized trial of critical incident stress debriefing (CISD) with platoons of 952 peacekeepers, CISD was compared with a stress management class (SMC) and survey-only (SO) condition. Multilevel growth curve modeling found that CISD did not differentially hasten recovery compared to the other two conditions. For those soldiers reporting the highest degree of exposure to mission stressors, CISD was minimally associated with lower reports of posttraumatic stress and aggression (vs. SMC), higher perceived organizational support (vs. SO), and more alcohol problems than SMC and SO. Soldiers reported that they liked CISD more than the SMC, and CISD did not cause undue distress. Â© 2008 International Society for Traumatic Stress Studies. Published online in Wiley InterScience (www.intetscience.wiley.com).","Adler A.B., Litz B.T., Castro C.A., Suvak M., Thomas J.L., Burrell L., McGurk D., Wright K.M., Bliese P.D.",1,10.1002/jts.20342,5
21,Resilience training with soldiers during basic combat training: Randomisation by platoon,"Background: Resilience Training has the potential to mitigate mental health symptoms when provided during initial military training. Methods: The present study examined the impact of Resilience Training on US soldier well-being and attitudes during Basic Combat Training. Platoons were randomly assigned to Resilience Training or Military History provided during the first few days of Basic Combat Training. Surveys were conducted at baseline, post-intervention, and 3, 6, and 9 weeks. Results: The sample resulted in a total of 1,939 soldiers who completed at least the baseline and one follow-up survey. There were no significant differences between conditions in terms of depression symptoms, anxiety symptoms, or sleep problems. However, while anxiety decreased in both conditions, the rate of decrease was faster in the Resilience Training condition. In contrast, Resilience Training had a slower rate of increase in group cohesion over time than the Military History condition. In addition, Resilience Training was associated with greater confidence in helping others and received more positive ratings than Military History. Conclusions: Findings demonstrate that the brief Resilience Training studied here may have some utility in supporting mental health and peer support but may not benefit unit climate. Â© 2014 The International Association of Applied Psychology.","Adler A.B., Williams J., Mcgurk D., Moss A., Bliese P.D.",1,10.1111/aphw.12040,6
31,Yoga for Self-Care and Burnout Prevention Among Nurses,"The promotion of self-care and the prevention of burnout among nurses is a public health priority. Evidence supports the efficacy of yoga to improve physical and mental health outcomes, but few studies have examined the influence of yoga on nurse-specific outcomes. The purpose of this pilot-level randomized controlled trial was to examine the efficacy of yoga to improve self-care and reduce burnout among nurses. Compared with controls (n = 20), yoga participants (n = 20) reported significantly higher self-care as well as less emotional exhaustion and depersonalization upon completion of an 8-week yoga intervention. Although the control group demonstrated no change throughout the course of the study, the yoga group showed a significant improvement in scores from pre- to post-intervention for self-care (p < .001), mindfulness (p = .028), emotional exhaustion (p = .008), and depersonalization (p = .007) outcomes. Implications for practice are discussed.","Alexander, Gina K.; Rollins, Kari; Walker, Danielle; Wong, Lily; Pennings, Jacquelyn",1,10.1177/2165079915596102,7
32,Short-term effects of a randomized controlled worksite relaxation intervention in Greece,"Objective. To evaluate the short-term benefits of simple relaxation techniques in white-collar employees.Materials and methods. The study was a two-arm parallel group randomized controlled trial. 152 employees were randomly assigned to receive the 8-week programme (N=80) (relaxation breathing and progressive muscle relaxation, twice a day) or not (wait-list group N=72). Self-reported validated measures were used to evaluate perceived stress, health locus of control, job and lifestyle related variables. Saliva cortisol were also sampled and measured. Adjusted mean changes on outcomes were estimated by linear mixed model analysis. 127 employees were finally analyzed (68 in the intervention and 59 in the control group).Results. Specific stress-related symptoms, psychological job demands and cortisol levels were found to be significantly decreased after 8-weeks in the intervention group. The result was probably affected by the general socio-economic condition during the study period. Cortisol levels were also significantly related with age, family situation, gender and sampling time.Conclusions. Simple relaxation training (diaphragmatic breathing and progressive muscle relaxation) could benefit employees and it is strongly proposed that these and other similar techniques should be tested in various labour settings","Alexopoulos, Evangelos C.; Zisi, Marilena; Manola, Georgia; Darviri, Christina",1,10.5604/1232-1966.1108609,8
38,The Influence of Psychological Factors on Restorative Function in Health and Illness,[No abstract available],"Smith A.W., Baum A.",0,10.1002/9780470753552.ch16,9
39,Self-Care and Yoga-Academic-Practice Collaboration for Occupational Health,"High rates of stress and burnout among nurses and other health care providers justify the exploration of innovative interventions designed to reduce stress and promote self-care among this population. A growing body of evidence supports the physical and psychosocial benefits of yoga and suggests the potential for yoga to support self-care and reduce stress among health care providers. This article describes the formation of an academic-practice collaboration to use yoga as a model for occupational health and wellness among nurses employed at a tax-supported urban health system. In addition, recommendations for program sustainability over time are discussed.","Alexander, Gina",0,10.3928/21650799-20131206-02,10
