X,authors,title,abstract,Included,ID
1,"Allen, B. C., et al. (2015"," ""The effect of bullying on burnout in nurses: The moderating role of psychological detachment."" Journal of Advanced Nursing 71(2","Aims: The aim of the study was to examine the relationship between bullying and burnout and the potential buffering effect psychological detachment might have on this relationship. Background: There is evidence to suggest that bullying is relatively widespread in the nursing profession, with previous studies indicating that bullying is associated with higher levels of burnout. There is, however, limited research focusing on potential moderators of the relationship between bullying and burnout. Design: A cross‐sectional quantitative study conducted with self‐completed, anonymous questionnaires. Methods: The study was conducted in 2011 with 762 Registered Nurses in Australia. Two hypotheses were tested with validated measures of bullying, psychological detachment and burnout. The hypotheses were tested using hierarchical regression. Results: Bullying is positively associated with burnout. Psychological detachment does not significantly moderate the relationship between bullying and burnout. Conclusion: The results indicate that bullying exacts a strong negative toll on nurses. Ensuring there are workplace policies and practices in place in healthcare organizations to reduce the instances of bullying and proactively address it when it does occur would therefore seem crucial. Individuals may also lower their risk of burning out by psychologically detaching from work. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,1
2,"Amrei, M. M., et al. (2016"," ""Novel Approach to Measuring the Droplet Detachment Force from Fibers."" Langmuir : the ACS journal of surfaces and colloids 32(50","Determining the force required to detach a droplet from a fiber or from an assembly of fibers is of great importance to many applications. A novel technique is developed in this work to measure this force experimentally by using ferrofluid droplets in a magnetic field. Unlike previous methods reported in the literature, our technique does not require air flow or a mechanical object to detach the droplet from the fiber(s); therefore, it simplifies the experiment and also allows one to study the capillarity of the droplet-fiber system in a more isolated environment. In this article, we investigated the effects of the relative angle between intersecting fibers on the force required to detach a droplet from the fibers in the in-plane or out-of-plane direction. The in-plane and through-plane detachment forces were also predicted via numerical simulation and compared with the experimental results. Good agreement was observed between the numerical and experimental results. It was found that the relative angle between intersecting fibers has no significant effect on the detachment force in the out-of-plane direction. However, the detachment force in the in-plane direction depends strongly on the relative angle between the fibers, and it increases as this angle increases.",1,2
3,"Anachkov, S. E., et al. (2016"," ""Particle detachment from fluid interfaces: theory vs. experiments."" Soft matter 12(36","Microparticle adsorption and self-assembly at fluid interfaces are strongly affected by the particle three-phase contact angle θ. On the single-particle level, θ can be determined by several techniques, including colloidal-probe AFM, the gel-trapping technique (GTT) and the freeze-fracture shadow-casting (FreSCa) method. While GTT and FreSCa provide contact angle distributions measured over many particles, colloidal-probe AFM measures the wettability of an individual (specified) particle attached onto an AFM cantilever. In this paper, we extract θ for smooth microparticles through the analysis of force-distance curves upon particle approach and retraction from the fluid interface. From each retraction curve, we determine: (i) the maximal force, Fmax; (ii) the detachment distance, Dmax; and (iii) the work for quasistatic detachment, W. To relate Fmax, Dmax and W to θ, we developed a detailed theoretical model based on the capillary theory of flotation. The model was validated in three different ways. First, the contact angles, evaluated from Fmax, Dmax and W, are all close in value and were used to calculate the entire force-distance curves upon particle retraction without any adjustable parameters. Second, the model was successfully applied to predict the experimental force-distance curve of a truncated sphere, whose cut is positioned below the point of particle detachment from the interface. Third, our theory was confirmed by the excellent agreement between the particle contact angles obtained from the colloidal-probe AFM data and the ensemble-average contact angles measured by both GTT and FreSCa. Additionally, we devised a very accurate closed-form expression for W (representing the energy barrier for particle detachment), thus extending previous results in the literature.",1,3
4,"Bakker, A. B., et al. (2018"," ""Major life events in family life, work engagement, and performance: A test of the work-home resources model."" International Journal of Stress Management.","This weekly diary study (N = 185 persons, n = 443 occasions) investigates how major life events influence weekly resource use, work engagement, and job performance. On the basis of the work–home resources model, we propose that weekly rumination undermines effective use of personal resources (i.e., self-efficacy), whereas weekly psychological detachment from the major life events facilitates effective use. In addition, we hypothesize that work role centrality acts as a key resource, and amplifies the two-way interaction effects. Results of multilevel analyses were generally in line with predictions, and support the work–home resources model. The findings suggest that detachment may effectively prevent negative spillover from home to work. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,4
5,"Barber, L. K. and J. S. Jenkins (2014"," ""Creating technological boundaries to protect bedtime: Examining work–home boundary management, psychological detachment and sleep."" Stress and Health: Journal of the International Society for the Investigation of Stress 30(3","This study examined the mechanism by which information and communication technology (ICT) use at home for work purposes may affect sleep. In this investigation, data from 315 employees were used to examine the indirect effect of ICT use at home on sleep outcomes through psychological detachment, and how boundary creation may moderate this effect. Results revealed the indirect effect of increased work–home boundary crossing on sleep (quantity, quality and consistency) through psychological detachment occurred only among individuals with low boundaries around ICT use and not among those with high boundaries. These results suggest that creating boundaries around work‐relevant ICT use while at home is beneficial to sleep as a recovery process through being able to psychologically disengage from work. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,5
6,"Bennett, A. A., et al. (2018"," ""Recovery from work‐related effort: A meta‐analysis."" Journal of Organizational Behavior 39(3","This meta‐analytic study examines the antecedents and outcomes of four recovery experiences: psychological detachment, relaxation, mastery, and control. Using 299 effect sizes from 54 independent samples (N = 26,592), we extend theory by integrating recovery experiences into the challenge–hindrance framework, creating a more comprehensive understanding of how both after‐work recovery and work characteristics collectively relate to well‐being. The results of meta‐analytic path estimates indicate that challenge demands have stronger negative relationships with psychological detachment, relaxation, and control recovery experiences than hindrance demands, and job resources have positive relationships with relaxation, mastery, and control recovery experiences. Psychological detachment after work has a stronger negative relationship with fatigue than relaxation or control experiences, whereas control experiences after work have a stronger positive relationship with vigor than detachment or relaxation experiences. Additionally, a temporally driven model with recovery experiences as a partial mediator explains up to 62% more variance in outcomes (ΔR² = .12) beyond work characteristics models, implying that both work characteristics and after‐work recovery play an important role in determining employee well‐being. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,6
7,"Boekhorst, J. A., et al. (2017"," ""Work intensity, emotional exhaustion and life satisfaction: The moderating role of psychological detachment."" Personnel Review 46(5","Purpose: The purpose of this paper is to examine a moderated mediation model that investigated the moderating role of psychological detachment in the relationship between work intensity and life satisfaction via emotional exhaustion. Design/methodology/approach: Data were collected from 149 hospital-based nurses who completed a questionnaire about working conditions and individual outcomes. The data were analyzed using hierarchical moderated regression and bootstrapping techniques. Findings: The results confirm that work intensity is negatively related to life satisfaction via emotional exhaustion. The results also demonstrate that psychological detachment diminishes the negative influence of emotional exhaustion on life satisfaction. The conditional indirect effect model shows that the indirect relationship between work intensity and life satisfaction is strongest at low psychological detachment. Research limitations/implications: This research advances our understanding of the negative work and non-work implications associated with work intensity. The key limitation of this research was the cross-sectional data set. HRM researchers should seek to replicate and expand the results with multi-wave data to extend our understanding of the implications of work intensity. Practical implications: HRM practitioners need to begin implementing measures to address work intensity in order to thwart its negative effects. HRM practitioners need to implement policies and procedures that limit the intensity of work demands to promote positive employee work and non-work outcomes. Originality/value: This is the first study to show that work intensity can influence life satisfaction through emotional exhaustion. Contrary to most recovery research, this research is also among the first to focus on the moderating role of psychological detachment, especially within a conditional indirect effect model. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,7
8,"Bono, J. E., et al. (2013"," ""Building positive resources: Effects of positive events and positive reflection on work stress and health."" Academy of Management Journal 56(6","This three-week longitudinal field study with an experimental intervention examines the association between daily events and employee stress and health, with a specific focus on positive events. Results suggest that both naturally occurring positive work events and a positive reflection intervention are associated with reduced stress and improved health, though effects vary across momentary, lagged, daily, and day-to-evening spillover analyses. Findings are consistent with theory-based predictions: positive events, negative events, and family-to-work conflict independently contribute to perceived stress, blood pressure, physical symptoms, mental health, and work detachment, suggesting that organizations should focus not only on reducing negative events, but also on increasing positive events. These findings show that a brief, end-of-workday positive reflection led to decreased stress and improved health in the evening. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,8
9,"Burris, E. R., et al. (2008"," ""Quitting before leaving: The mediating effects of psychological attachment and detachment on voice."" Journal of Applied Psychology 93(4","This research advances understanding of the psychological mechanisms that encourage or dissuade upward, improvement-oriented voice. The authors describe how the loyalty and exit concepts from A. O. Hirschman's (1970) seminal framework reflect an employee's psychological attachment to or detachment from the organization, respectively, and they argue that psychological attachment and detachment should not be considered as separate, alternative options to voice but rather as influences on voice behavior. Findings from 499 managers in the restaurant industry show that psychological detachment (measured as intention to leave) is significantly related to voice and mediates relationships between perceptions of leadership (leader-member exchange and abusive supervision) and voice, whereas psychological attachment (measured as affective commitment) is neither a direct predictor of voice nor a mediator of leadership-voice relationships. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,9
10,"Cerdà, A., et al. (2017"," ""Runoff initiation, soil detachment and connectivity are enhanced as a consequence of vineyards plantations."" Journal of environmental management 202: 268-275.","Rainfall-induced soil erosion is a major threat, especially in agricultural soils. In the Mediterranean belt, vineyards are affected by high soil loss rates, leading to land degradation. Plantation of new vines is carried out after deep ploughing, use of heavy machinery, wheel traffic, and trampling. Those works result in soil physical properties changes and contribute to enhanced runoff rates and increased soil erosion rates. The objective of this paper is to assess the impact of the plantation of vineyards on soil hydrological and erosional response under low frequency - high magnitude rainfall events, the ones that under the Mediterranean climatic conditions trigger extreme soil erosion rates. We determined time to ponding, Tp; time to runoff, Tr; time to runoff outlet, Tro; runoff rate, and soil loss under simulated rainfall (55 mm h-1, 1 h) at plot scale (0.25 m2) to characterize the runoff initiation and sediment detachment. In recent vine plantations (<1 year since plantation; R) compared to old ones (>50 years; O). Slope gradient, rock fragment cover, soil surface roughness, bulk density, soil organic matter content, soil water content and plant cover were determined. Plantation of new vineyards largely impacted runoff rates and soil erosion risk at plot scale in the short term. Tp, Tr and Tro were much shorter in R plots. Tr-Tp and Tro-Tr periods were used as connectivity indexes of water flow, and decreased to 77.5 and 33.2% in R plots compared to O plots. Runoff coefficients increased significantly from O (42.94%) to R plots (71.92%) and soil losses were approximately one order of magnitude lower (1.8 and 12.6 Mg ha-1 h-1 for O and R plots respectively). Soil surface roughness and bulk density are two key factors that determine the increase in connectivity of flows and sediments in recently planted vineyards. Our results confirm that plantation of new vineyards strongly contributes to runoff initiation and sediment detachment, and those findings confirms that soil erosion control strategies should be applied immediately after or during the plantation of vines.",1,10
