X,title,abstract,authors,Included,ID
1,A prospective study of fatal occupational accidents--relationship to sleeping difficulties and occupational factors,"Very little is known about the association between sleep and (fatal) occupational accidents. This study investigated this relationship using register data of self-rated sleep difficulties, together with occupational and demographic characteristics. The variables were related to subsequent occupational fatal accidents. A national sample of 47,860 individuals (aged 16-over 50 yrs) was selected at regular intervals over a period of 20 years, and interviewed over the phone on issues related to work and health. The responses were linked to the cause of death register (suicides excluded) and the data set was subjected to a (multivariate) Cox regression survival analysis. One hundred and sixty six fatal occupational accidents occurred, and the significant predictors were: male versus female; relative risk; difficulties in sleeping; and non-day work. No significant effect was seen for age, socio-economic group, hectic work, overtime, or physically strenuous work. It was concluded that self-reported disturbed sleep is a predictor of accidental death at work, in addition to non-day work and male gender. (PsycINFO Database Record (c) 2019 APA, all rights reserved)fatal occupational accidents, demographic characteristics, significant predictors, occupational factors, sleep difficulties, gender, non-day work, Accidents, Occupational, Adolescent, Adult, Cohort Studies, Cross-Sectional Studies, Female, Humans, Male, Middle Aged, Prospective Studies, Sleep Wake Disorders, Accidents, Death and Dying, Occupational Exposure, Prediction, Sleep Wake Disorders, Demographic Characteristics, Human Sex Differences, Working Conditions","Ã…kerstedt, T.; Fredlund, P.; Gillberg, M. & Jansson, B.",1,1
2,The role of childhood trauma in bipolar disorders,"This review will discuss the role of childhood trauma in bipolar disorders. Relevant studies were identified via Medline (PubMed) and PsycINFO databases published up to and including July 2015. This review contributes to a new understanding of the negative consequences of early life stress, as well as setting childhood trauma in a biological context of susceptibility and discussing novel long-term pathophysiological consequences in bipolar disorders. Childhood traumatic events are risk factors for developing bipolar disorders, in addition to a more severe clinical presentation over time (primarily an earlier age at onset and an increased risk of suicide attempt and substance misuse). Childhood trauma leads to alterations of affect regulation, impulse control, and cognitive functioning that might decrease the ability to cope with later stressors. Childhood trauma interacts with several genes belonging to several different biological pathways [Hypothalamic-pituitary-adrenal (HPA) axis, serotonergic transmission, neuroplasticity, immunity, calcium signaling, and circadian rhythms] to decrease the age at the onset of the disorder or increase the risk of suicide. Epigenetic factors may also be involved in the neurobiological consequences of childhood trauma in bipolar disorder. Biological sequelae such as chronic inflammation, sleep disturbance, or telomere shortening are potential mediators of the negative effects of childhood trauma in bipolar disorders, in particular with regard to physical health. The main clinical implication is to systematically assess childhood trauma in patients with bipolar disorders, or at least in those with a severe or instable course. The challenge for the next years will be to fill the gap between clinical and fundamental research and routine practice, since recommendations for managing this specific population are lacking. In particular, little is known on which psychotherapies should be provided or which targets therapists should focus on, as well as how childhood trauma could explain the resistance to mood stabilizers.; ","Aas, Monica; Henry, Chantal; Andreassen, Ole A.; Bellivier, Frank; Melle, Ingrid & Etain, Bruno",0,2
3,Comparisons of the prevalence of and risk factors for elderly depression between urban and rural populations in Japan,"Background: The aim of the present study was to investigate the differences in the prevalence of and risk factors for elderly depression between urban and rural areas in Japan and to further understanding of the features of elderly depression. Methods: A multistage, random sampling procedure and mailing method were used in urban and rural areas in Kumamoto Prefecture. A total of 2,152 participants aged 65 years and older were evaluated for depression using the Geriatric Depression Scale (GDS). Factors associated with depression were also examined. In order to assess the relationship between risk factors and subjective happiness, the Philadelphia Geriatric Center Morale Scale (PGC-MS) was used. Results: Depressive symptoms were associated with living alone, being unemployed, chronic illness, sleep disturbance, suicidal ideation, financial strain, and poor social support; the risk factors for elderly depression were almost the same in the two areas. Although three factors (financial strain, work status, and PGC-MS) were significantly associated with depression in both areas on logistic regression analysis, sleep disturbance was significant only for the urban area, and poor social support was significant only for the rural area. Conclusions: Although factors related to depression did not differ markedly between urban and rural elderly people, some risk factors differed between the two areas. Effective intervention programs for elderly depression should pay more attention to regional differences. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)disease prevalence, risk factors, elderly depression, urban population, rural population, Epidemiology, Major Depression, Risk Factors, Rural Environments, Urban Environments, Geriatrics","Abe, Y.; Fujise, N.; Fukunaga, R.; Nakagawa, Y. & Ikeda, M.",1,3
4,Sleep disturbances from the viewpoint of suicidality: Implications for future psychosocial interventions for youngsters,"Objective: This review article is an overview and clinical reflection on the relationship between sleep disturbances during adolescence and adulthood. Design and Methods: This clinical review stresses sleep disturbances in terms of somatopsychic maturation. We also focus on the relationship between nightmare and suicidality and the insomnia-depression connection in a Japanese general population sample. Results: Interest is growing in insomnia and nightmare and its symptomatological significance in psychiatric epidemiology. Some recent studies have shown that pubertal development and sleep regulation are important factors for explaining alcohol use in early adolescence. These studies suggest that profound puberty-dependent transitions in sleep patterns might take place during adolescence. Conclusion: Clinical reflections related to sleep disturbance are expected to contribute to the future development of a more thoughtful suicide prevention strategy, especially for youngsters. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)sleep disturbances, suicidality, psychosocial interventions, insomnia, epidemiology, adolescence, adulthood, somatopsychic maturation, nightmares, major depression, Japanese population, Adolescent Development, Epidemiology, Intervention, Sleep Disorders, Suicidal Ideation, Adult Development, Insomnia, Japanese Cultural Groups, Nightmares, Sleep","Abe, Yuichiro & de Kernier, Natlialie",0,4
5,Suicidal ideation with IFN-Î± and ribavirin in a patient with hepatitis C,"Provides a case report on a 55-yr-old man with hepatitis C being treated with IFN-Î± and ribavarin and investigates the occurrence of suicidal ideation with this treatment. Four months after starting treatment for hepatitis C, he was admitted to the psychiatric ward. At the time of his admission, he met criteria for major depression. Eight days after admission, the subject attempted suicide with trimipramine and zolpidem. After his condition stabilized, he was transferred back to the inpatient psychosomatic unit, and IFN-Î± and ribavarin were stopped. He still complained of insomnia, but he had clearly distanced himself from suicidal ideation and appeared more authentic in interactions with his therapist. He was discharged in a stable mental state, started psychotherapy, returned to work, and continued to do well 6 months after discharge. This approach may serve as an effective starting point for evaluating patients with hepatitis C who are selected for treatment with IFN-Î± and ribavarin. (PsycINFO Database Record (c) 2013 APA, all rights reserved)suicidal ideation, hepatitis C, interferon alpha, ribavarin, psychosocial context, patient history, Drug Therapy, Hepatitis, Interferons, Side Effects (Drug), Suicidal Ideation, Patient History","Ademmer, Karin; Beutel, Manfred; Bretzel, Reinhard; Clemens, Jens & Reimer, Christian",0,5
6,Symptom Profile and Severity in a Sample of Nigerians with Psychotic versus Nonpsychotic Major Depression,"The therapeutic strategies in managing patients with psychotic major depression (PMD) differ from those with non-psychotic major depression (NMD), because of differences in clinical profile and outcome. However, there is underrecognition of psychotic symptoms in depressed patients. Previous studies in Western population suggest that certain symptom patterns, apart from psychosis which may be concealed, can facilitate the discrimination of PMD from NMD. These studies may have limited applicability to sub-Saharan Africa due to cross-cultural differences in the phenomenology of depression. This study compared the rates and severity of depressive symptoms in outpatients with PMD (n = 129) and NMD (n = 117) using the Structured Clinical Interview for Depression (SCID) and Hamilton Depression Rating Scale (HAM-D). Patients with PMD had statistically significantly higher rates of suicidal ideation, suicidal attempt, psychomotor agitation, insomnia, and reduced appetite. Patients with NMD were more likely to manifest psychomotor retardation and somatic symptoms. PMD was associated with greater symptom severity. On logistic regression analysis, suicidal ideation, psychomotor disturbances, insomnia, and somatic symptoms were predictive of diagnostic status. The presence of these symptoms clusters may increase the suspicion of occult psychosis in patients with depression, thereby informing appropriate intervention strategies.; ","Adeosun, Increase Ibukun & Jeje, Oyetayo",1,6
7,Sleep disturbances and suicidal behavior in patients with major depression,"Examined the association between sleep disturbances and suicidal behavior in 113 Ss (aged 18-70 yrs) with major depression. The sleep symptomatology of each patient was ascertained from the Schedule for Affective Disorders and Schizophrenia (SADS) questions concerning sleep in the section on major depression. The patients were retrospectively classified as having hypersomnia, insomnia, and no sleep disturbance. The SADS suicide subscale was used to rate the severity of active suicidality. The patients with hypersomnia and insomnia had significantly higher scores on the SADS suicide subscale than those without sleep disturbance. The authors also found that the patients with insomnia and hypersomnia were significantly more likely to become suicidal than the others. These data demonstrate that both insomnia and hypersomnia are associated with suicidal behavior in patients with major depression. (PsycINFO Database Record (c) 2013 APA, all rights reserved)insomnia & hypersomnia, suicidal behavior, 18-70 yr olds with major depression, Hypersomnia, Insomnia, Major Depression, Suicide","Agargun, Mehmed YÃ¼cel; Kara, Hayrettin & Solmaz, Mustafa",1,7
8,"Recurrent sleep panic, insomnia, and suicidal behavior in patients with panic disorder","Examined the association between recurrent sleep, panic, and suicidal behavior in panic disorder. The Schedule of Affective Disorders and Schizophrenia (SADS) was used to rate the severity of active suicidality in 33 adults (aged 19-55 yrs) with recurrent sleep panic and 34 adults (aged 18-51 yrs) with other types of Diagnostic and Statistical Manual of Mental Disorders-III-Revised (DSM-III-R) panic. Results indicate that recurrent sleep panickers had a higher SADS suicidality scores and a higher percentage of insomnia and comorbid major depression than the others. A multivariate analysis demonstrated an association between recurrent sleep panic and suicidal tendencies in patients with panic disorder. Although recurrent sleep panic alone is not an independent risk factor for suicidal behavior, it may modify the severity of illness in patients with panic disorder. (PsycINFO Database Record (c) 2012 APA, all rights reserved)sleep panic & suicidal behavior, adults with panic disorders, Panic Disorder, Sleep Disorders, Suicide","Agargun, Mehmet & Kara, Hayrettin",1,8
9,"Nightmares, suicide attempts, and melancholic features in patients with unipolar major depression","Objectives: Recently, there has been a growing interest in the relationship between sleep disturbances and suicidality in major depression. Sleep disturbances are one of the 'modifiable risks' for suicide in major depression. The present study examines whether there is a relationship among nightmares, suicide attempts, and melancholic features in unipolar major depressed patients. Methods: One hundred (49 males and 51 females) depressed patients with melancholic features and 49 (23 males and 26 females) patients without melancholic features were included in the study. All patients were classified as those who attempted suicide at least once during current depressive episode and as those who never attempted. Results: Melancholic attempters had higher rates of nightmares, middle, and terminal insomnia than melancholic non-attempters. There was no significant difference between non-melancholic patients with and without suicidal attempts in terms of the frequency of all types of insomnia and nightmares. Limitations: This study does not have polysomnographic records for sleep variables. Conclusions: Feeling worse in the morning than later in the day may be related to the intervening dream content and affect and predict suicidal tendency. Melancholia may be associated with increased risk of suicide attempts due to repetitive and frightening dreams. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)nightmares, suicide attempts, melancholic features, patients, unipolar major depression, sleep disorders, Attempted Suicide, Major Depression, Nightmares, Sadness, Suicide, Patients","Agargun, Mehmet Yucel; Besiroglu, Lutfullah; Cilli, Ali Savas; Gulec, Mustafa; Aydin, Adem; Inci, Rifat & Selvi, Yavuz",1,9
10,Subjective sleep quality and suicidality in patients with major depression,"Examined the association between sleep quality and suicidality in major depressive disorder. 41 patients (mean age 34.6 yrs) with major depression were evaluated using the Pittsburgh Sleep Quality Index (PSQI) and the Schedule for Affective Disorders and Schizophrenia (SADS) suicide subscale. It was found that suicidal depressive patients had significantly higher scores of subjective sleep quality, sleep latency, sleep duration, habitual sleep efficiency and PSQI global scores than nonsuicidal patients. Significant correlations between the SADS suicide subscale scores and most measures of the PSQI were also found. These data suggest that there is an association between poor subjective sleep quality and suicidal behavior in patients with major depressive disorder. (PsycINFO Database Record (c) 2012 APA, all rights reserved)subjective sleep quality & suicidality, adults with major depression (mean age 34.6 yrs), Turkey, Major Depression, Sleep, Suicidal Ideation","Agargun, Mehmet Yucel; Kara, Hayrettin & Solmaz, Mustafa",1,10
