key,title,abstract,keywords,authors,year,url,Included,ID
1,Effectiveness and feasibility of virtual reality and gaming system use at home by older adults for enabling physical activity to improve health-related domains: A systematic review,Cited By :79 Export Date: 30 January 2020,Video Meta Results Raw,Miller KJ and Adair BS and Pearce AJ and Said CM and Ozanne E and Morris MM,,,0,1
2,The effectiveness of E- learning in learning: A review of the literature,"Entry to the information age and effective life in information-oriented society requires an understanding of its characteristics. One of the social institutions that will undergo extensive changes at this age is general and higher education and training institutions. The aim of this review study is to evaluate the effectiveness of e learning in learning. This paper is a review study carried out using Medline and CINAHL databases and Google search engine. The studies used include review articles and English meta-analysis of language. Of the retrieved results, 38 documents including articles, books and web sites were investigated and classified. At first, the background of e learning was studied history and in the next section its effectiveness in learning was briefly examined. The overall benefits of e-learning include the promotion of learning, independence and individual satisfaction, learning at anytime, anywhere and with any background, learning without the same prerequisites, speed and process of learning due to individual needs, individual learning along with cooperative learning, saving time and costs significantly, the possibility of teaching and learning for all people, mutual teaching and learning, getting quick results in learning, learning more by using multimedia and maintaining resources and reducing environmental and audio pollution. The results of studies suggest positive effects of e-learning on learning thus it is suggested that this approach be used more in education, which requires building the required grounds.",Video Meta Results Raw,Somayeh M and Dehghani M and Mozaffari F and Ghasemnegad SM and Hakimi H and Samaneh B,,,1,2
3,A meta analysis on effective conditions to offer animation based teaching style,"Purpose - The aim of this study is to find in which conditions animation based teaching style for example teaching through 2D or 3D animations or animated diagrams leads to the better learning outcome. To achieve this purpose, we compared these two conditions (i) animation based teaching style is effective when offered to high spatial ability learners versus low spatial ability learners (ii) animation based teaching style is effective when offered to high prior knowledge learners versus low prior knowledge learners. Methodology - The data of 37 experiments from 22 different published studies were collected to identify the effective conditions. The results were obtained by conducting a meta-analysis. Animations can be effective for a wide range of subject disciplines and age group. Therefore, the present study incorporated published empirical data from different subject disciplines and age groups. Findings - The weighted mean effect size of HSA and LSA groups were 0.34 and 0.58 respectively. Thus, the current study is able to reject the null hypothesis that animation based teaching style is only effective for HSA students. The weighted mean effect size of HPK and LPK groups were 0.49 and -0.16 respectively. As a result, this study is unable to reject the null hypothesis that animation based teaching style is only effective for HPK students. Significance - This study statistically proved that prior knowledge is a crucial factor while offering animation based teaching style and thus it should only be offered to HPK students. Whereas, spatial ability is not a crucial factor as both high and low spatial ability students performed positively with animation based teaching style. These facts can help educators to design teaching methodologies to enhance the learning outcomes. © 2013, Universiti Utara Malaysia Press.",Animation based teaching style; spatial ability; prior knowledge; individual differences; DYNAMIC VISUALIZATIONS; SPATIAL ABILITIES; PRIOR KNOWLEDGE; COGNITIVE LOAD; EXPERTISE; DESIGN; INFORMATION; ANATOMY; MOTION; WORDS; Education & Educational Research; Education & Educational Research; Video Meta Results Raw,Kaushal RK and Panda SN,,,1,3
4,Promoting Testicular Cancer Awareness and Screening: A Systematic Review of Interventions,"BACKGROUND: Testicular cancer (TC) is a relatively curable malignancy that predominantly affects young males. Key decision makers discourage TC screening because of lack of evidence about the benefits of this practice, whereas others argue that men must be aware of normal versus abnormal testicular findings. Despite the debate on TC surveillance, a number of research efforts are still being made to increase men's awareness of TC and its screening. OBJECTIVE: The aim of this study was to systematically review studies that were conducted to enhance men's knowledge and awareness regarding TC and its screening and increase their TC screening intentions and practices. METHODS: Studies published in English between 2004 and 2014 were reviewed using 3 e-databases, and interventions that were in line with the review aims were selected. RESULTS: A total of 3076 records were screened for eligibility, and 11 studies met the inclusion criteria. The majority of the reviewed interventions successfully enhanced men's awareness of TC and its screening and increased their intentions to perform testicular self-examination. Examples include videos about TC, shower gel sachets, stickers, and posters, a television show, a university campaign, and high self-efficacy messages about TC screening. Men at risk of health disparities were underrepresented in the reviewed literature. CONCLUSIONS: A number of interesting channels through which men can learn about TC were identified. Examples include social media and mass media. IMPLICATIONS FOR PRACTICE: Given the controversy that surrounds TC screening, nurses can play a key role in increasing men's awareness of TC rather than advising periodical TC self-examination.",Video Meta Results Raw,Saab MM and Landers M and Hegarty J,,,0,4
5,The Experimental Method as an Evaluation Tool in Serious Games Research and Development,"This chapter aims to provide the reader with basic knowledge about the experiment as a general method that can be applied towards serious games research and evaluation. It explains the main terms and rules of the experimental design, as well as points out the main risks and difficulties to avoid. The chapter also explains the differences in possible conclusions between true experiments, quasi-experiments, and correlational studies.",Video Meta Results Raw,Bogacheva NV,,,0,5
6,The Role of Artificial Intelligence in Social Media Big data Analytics for Disaster Management - Initial Results of a Systematic Literature Review,"When any kind of disaster occurs, victims who are directly and indirectly affected by the disaster often post vast amount of data (e.g., images, text, speech, video) using numerous social media platforms. This is because social media has recently become a primary communication channel among people to report either to public or to emergency responders (ERs). ERs, who are from various emergency response organizations (EROs), usually consider to gain awareness of the situation in order to respond to occurred disaster. However, with the occurrence of the disaster, within minutes, the social media platforms are flooded with various kinds of data which become overwhelmed for ERs with big data. Further, in this posted data, there may be majority of the data consist of redundant and irrelevant content. With this, it becomes challenging for ERs to make sense and take decisions of/on the available big data. Despite recent advances in the technology, processing and analyzing of the disaster related social media big data remains a challenging task. Hence, in this paper, we focus on presenting an initial analysis of a systematic literature review on application of artificial intelligence to analyze/process social media big data for efficient disaster management. During a systematic review process 68 publications were identified. Thereafter, we analyzed all the identified papers. From our analysis, we conclude that the most of the reviewed papers are on text and image classification and mostly convolutional neural networks have been employed for the classification.","Social media; Big data analytics; Artificial intelligence; Machine learning; Deep learning; Disaster management; Survey; Literature Review; Computer Science, Information Systems; Telecommunications; Computer Science; Telecommunications; Video Meta Results Raw",Nunavath V and Goodwin M,,,0,6
7,Women are not less field independent than men-the role of stereotype threat,"Prior research has shown that females are less field independent (FI) than males. However, when gender identity is salient, performance on tests assessing constructs similar to FI may be hindered, because of stereotype threat. This study examined the impact of stereotype threat on gender differences in FI. We expected that (a) reporting one's own gender prior to FI testing and (b) having an opposite-gender experimenter would activate stereotype threat, and in turn result in lower performance on a test of FI among females. Overall, 170 participants were randomly assigned to one of eight conditions in a between-participants design varying the participant's gender, experimenter's gender and timing of the gender question (before vs. after test). Results showed that reporting one's gender before the FI test led to lower FI performance among females. Furthermore, females achieved higher FI when experimenters were females and gender questions were administered after the FI test.","Field dependence/independence; Stereotype threat; Gender differences; Spatial abilities; SPATIAL ABILITY; SEX-DIFFERENCES; GENDER STEREOTYPES; TEST-PERFORMANCE; METAANALYSIS; SCIENCE; Psychology, Multidisciplinary; Psychology; Video Meta Results Raw",Drazkowski D and Szwedo J and Krajczewska A and Adamczuk A and Piatkowski K and Jadwizyc M and Rakowski A,,,0,7
8,Ultra-processed food product brands on Facebook pages: highly accessed by Brazilians through their marketing techniques,"Objective: To analyse the content and extent of marketing of ultra-processed food products (UPP) and their brand pages on Facebook, which are highly accessed by Brazilians. Design: Descriptive. Setting: Sixteen UPP brand pages on Facebook were selected from 250 pages that were the most liked by Brazilians in October 2015. Subjects: We analysed the frequency of 'likes' and members 'talking about' each one of the pages, in addition to fifteen marketing techniques used in the previous year (September 2014 to October 2015). The number of posts, likes, 'shares' and 'commentaries', and the mean number of likes, shares and commentaries per post, were collected for one month, from 23 September to 23 October 2015. Results: The two most liked pages were: Coke (R) (93 673 979 likes) and McDonald's (R) (59 749 819 likes). Regarding the number of people talking about the pages, McDonald's led with 555 891 commentaries, followed by Coke (287 274), Burger King (R) (246 148) and Kibon (R) (244 523). All pages used marketing techniques, which included photos, user conversations, presence of brand elements and links. Videos were observed on 93.8% of the pages; promotions on 68.8%; and celebrities on 62.5%. In one month, Garoto (R), Outback (R) and Coke were brands that published more than one post per day. Kibon achieved the highest ratio of likes per post (285 845.50) and Burger King had the highest mean shares per post (10 083.93), including commentaries per post (7958.13). Conclusions: UPP marketing is extensively used on Facebook pages and is highly accessed by Brazilians, with UPP companies employing a diversity of marketing strategies.","Advertising; Industrialized foods; Facebook; Marketing; Social media; Food publicity; UNHEALTHY FOOD; CHILDREN; METAANALYSIS; ADOLESCENTS; ADULTS; Public, Environmental & Occupational Health; Nutrition & Dietetics; Public, Environmental & Occupational Health; Nutrition & Dietetics; Video Meta Results Raw",Horta PM and Rodrigues FT and dos Santos LC,,,0,8
9,Short-term and long-term effects of violent media on aggression in children and adults,"OBJECTIVES: To test whether the results of the accumulated studies on media violence and aggressive behavior are consistent with the theories that have evolved to explain the effects. We tested for the existence of both short-term and long-term effects for aggressive behavior. We also tested the theory-driven hypothesis that short-term effects should be greater for adults and long-term effects should be greater for children. DESIGN: Meta-analysis. PARTICIPANTS: Children younger than 18 years and adults. MAIN EXPOSURES: Violent media, including TV, movies, video games, music, and comic books. MAIN OUTCOME MEASURES: Measures of aggressive behavior, aggressive thoughts, angry feelings, physiological arousal (eg, heart rate, blood pressure), and helping behavior. RESULTS: Effect size estimates were combined using meta-analytic procedures. As expected, the short-term effects of violent media were greater for adults than for children whereas the long-term effects were greater for children than for adults. The results also showed that there were overall modest but significant effect sizes for exposure to media violence on aggressive behaviors, aggressive thoughts, angry feelings, arousal levels, and helping behavior. CONCLUSIONS: The results are consistent with the theory that short-term effects are mostly due to the priming of existing well-encoded scripts, schemas, or beliefs, which adults have had more time to encode. In contrast, long-term effects require the learning (encoding) of scripts, schemas, or beliefs. Children can encode new scripts, schemas, and beliefs via observational learning with less interference and effort than adults.",Video Meta Results Raw,Bushman BJ and Huesmann LR,,,0,9
10,Cohort Differences in the Association of Cardiovascular Risk and Cognitive Aging,"Aim: To investigate birth cohort differences in associations between cardiovascular risk and fluid cognition between the age of 70 and 79. Method: Data were drawn from representative population-based cohort samples (H70), born 1901-1902, 1906-1907, and 1930, measured at ages 70, 75, and 79 on fluid cognitive measures (spatial ability and logical reasoning). The Framingham Risk Score (FRS), derived from office-based nonlaboratory predictors (age, sex, systolic blood pressure, BMI, smoking, diabetes status), was used to measure cardiovascular risk. Multiple-group latent growth curve models were fitted to the data. Findings: Estimates revealed small associations between the FRS and fluid cognition. These associations were slightly reduced in the 1930 cohort. Conclusion: Findings suggest diminishing adverse effects of cardiovascular risk on cognitive aging in cohorts born later.","aging; cardiovascular risk; cognition; cognitive change; cohort differences; BODY-MASS INDEX; MEN AGED 50; SECULAR CHANGES; BLOOD-PRESSURE; DEMENTIA; PROFILE; STROKE; GOTHENBURG; TRENDS; METAANALYSIS; Psychology, Developmental; Psychology; Video Meta Results Raw",Karlsson P and Johansson B and Skoog I and Skoog J and Ryden L and Thorvaldsson V,,,0,10
