X,title,abstract,authors,Included,doi,ID
1,Frustration-affirmation? Thwarted goals motivate compliance with social norms for violence and nonviolence,"When thwarted goals increase endorsement of violence, it may not always reflect antisocial tendencies or some breakdown of self-regulation per se; such responses can also reflect an active process of self-regulation, whose purpose is to comply with the norms of one’s social environment. In the present experiments (total N = 2,145), the causal link between thwarted goals and endorsement of violent means (guns and war) was found to be contingent on perceptions that violence is normatively valued. Experiments 1–3 establish that thwarted goals increase endorsement of violence primarily among U.S. adults of a lower educational background and/or men who endorse a masculine honor culture. Experiment 4 manipulates the perceived normative consensus of college educated Americans, and demonstrates that thwarted goals increase college educated Americans’ endorsement of whatever norm is salient: prowar or antiwar. Generalizing the model beyond violent means, Experiment 5 demonstrates that goal-thwarted Europeans report increased willingness to volunteer for refugee support activities if they perceive strong social norms to volunteer. Altogether, these findings support a frustration-affirmation model rather than frustration-aggression, whereby thwarted goals increase compliance with perceived norms for behavior, which can increase endorsement of violent means such as guns and war, but also nonviolent charitable actions. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","Le and er, N. Pontus and Agostini, Maximilian and Stroebe, Wolfgang and Kreienkamp, Jannis and Spears, Russell and Kuppens, Toon and Van Zomeren, Martijn and Otten, Sabine and Kruglanski, Arie W.",0,,1
2,Explaining social behavior in response to death-related threats: The conspecific loss compensation mechanism,"Exposure to death-related threats, thoughts and cues (actual or anticipated death of conspecifics, including oneself) remain powerful stressors across primate species, including humans. Accordingly, a pervasive issue in psychology pertains to the kind of social–cognitive responses exposure to deadly threats generates. To this day, psychological models of reactions to death-related threats remain underspecified, especially with regards to modern evolutionary theory. Research on both humans and nonhuman primates’ reactions to death-related threats highlights a general tendency of human and nonhuman primates to 'cling to the group' and to display increased social motivation in the face of death and deadly events (predator attacks, disasters, terror attacks. . .). Given the adaptive value of social networks, which provide individuals with resources, mating pool and support, we propose the existence of an evolved mechanism to explain these affiliative responses. In particular, we propose a 'conspecific loss compensation mechanism' ({CLCM}) that actively keeps track of and compensates for threats to the integrity of one’s social network. In the face of death-related cues signaling a danger for one’s social network, or actual conspecific loss, {CLCM} triggers proportional affiliative responses by a process labeled compensatory socialization. After reviewing existing evidence for the {CLCM}, we discuss its plausibility, parsimonious character, and explanatory power of the diversity of responses observed among threatened and grieving individuals. We also formulate clear and novel predictions to be tested in future research. ({PsycInfo} Database Record (c) 2020 {APA}, all rights reserved)","Adam-Troian, Jais and Bonetto, Eric and Varet, Florent and Arciszewski, Thomas and Dezecache, Guillaume",0,,2
3,Focus theory of normative conduct and terror-management theory: The interactive impact of mortality salience and norm salience on social judgment,"Research on terror-management theory has shown that after mortality salience ({MS}) people attempt to live up to cultural values. But cultures often value very different and sometimes even contradictory standards, leading to difficulties in predicting behavior as a consequence of terror-management needs. The authors report 4 studies to demonstrate that the effect of {MS} on people's social judgments depends on the salience of norms. In Study 1, making salient opposite norms (prosocial vs. proself) led to reactions consistent with the activated norms following {MS} compared with the control condition. Study 2 showed that, in combination with a pacifism prime, {MS} increased pacifistic attitudes. In Study 3, making salient a conservatism/security prime led people to recommend harsher bonds for an illegal prostitute when they were reminded of death, whereas a benevolence prime counteracted this effect. In Study 4 a help prime, combined with {MS}, increased people's helpfulness. Discussion focuses briefly on how these findings inform both terror-management theory and the focus theory of normative conduct. ({PsycINFO} Database Record (c) 2016 {APA}, all rights reserved)","Jonas, Eva and Martens, Andy and Niesta Kayser, Daniela and Fritsche, Immo and Sullivan, Daniel and Greenberg, Jeff",1,,3
4,Trading in search of structure: Market relationships as a compensatory control tool,"Rooting our model in the compensatory control theory, we propose that one reason behind the prevalence of market relationships in modern society is that the fundamental need for orderliness makes them psychologically appealing because of the structure they provide. The initial study confirmed that market relationships are perceived as more structured than communal relationships. In 13 experiments (including 2 preregistered ones), we examined the causal relationship between personal control and preferences for market relationships. First, participants with a threatened sense of control preferred market over communal relationships and interpreted ambiguous social interactions as market-related. Second, the salience of market relationships triggered a sense of control and evoked internal explanations of various events. Finally, priming market relationships reduced the search for other compensatory control tools in the face of external threats. We also demonstrated that market relationships are appealing because of their structure, as perceiving ambiguous situations as market-related after threatening control was moderated by Personal Need for Structure, and the relation between market relationships and the sense of control was mediated by perceived structure. Finally, we tested boundary conditions of the above effects and provided evidence that people facing control threat tend to prefer market-oriented rules in relations with strangers rather than with those close to them, and that the relation between market relationships and sense of control is absent among securely attached individuals. We discuss why market relationships compensate for lack of control and refer to other disciplines to explain this phenomenon. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","Gasiorowska, Agata and Zaleskiewicz, Tomasz",0,,4
5,Long live A(me)rica! An examination of the interplay between nationalistic–symbolic immortality striving and belief in life after death,"Terror management theory ({TMT}) proposes that the awareness of our eventual death is at odds with our evolved desire to live and that humans attempt to resolve this psychological conflict by investing in cultural worldviews that grant symbolic or literal immortality. The present studies examine the interplay between symbolic and literal immortality striving. Three studies show that, following a death reminder, only individuals who did not have a route to literal immortality (belief in an afterlife) increased how long they believe their culture (Canada in Studies 1 and 2, the United States in Study 3), will last by thousands of years. Study 4 demonstrated that this moderation effect cannot be explained by general religiosity; Study 5 conceptually replicated this finding using a different measure of perceived cultural longevity. Finally, Study 6 demonstrates that for those who were highly invested in their nation but did not believe in an afterlife, perceived cultural longevity was associated with decreased death anxiety. These results are consistent with the notion that people possess a primary path to immortality that follows directly from their worldview. The need for increased specificity in study design in {TMT} and the threat and defense literature more broadly is discussed. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","Scott, Andy and Schimel, Jeff and Sharp, Michael",1,,5
6,When death is compelling: Door-in-the-face compliance under mortality salience,"Research on terror management theory has found evidence that people under mortality salience strive to live up to activated social norms and values. Recently, research has shown that mortality salience also increases adherence to the norm of reciprocity. Based on this, in the current paper we investigated the idea that mortality salience influences persuasion strategies that are based on the norm of reciprocity. We therefore assume that mortality salience should enhance compliance for a request when using the door-in-the-face technique – a persuasion strategy grounded in the norm of reciprocity. In a hypothetical scenario (Study 1), and in a field experiment (Study 2), applying the door-in-the-face technique enhanced compliance in the mortality salience condition compared to a control group. ({PsycInfo} Database Record (c) 2020 {APA}, all rights reserved)","Schindler, Simon and Reinhard, Marc-André",1,,6
7,Destined to die but not to wage war: How existential threat can contribute to escalation or de-escalation of violent intergroup conflict,"War means threat to people’s lives. Research derived from terror management theory ({TMT}) illustrates that the awareness of death leads people to defend cultural ingroups and their worldviews to attain a sense of symbolic immortality and thereby buffer existential anxiety. This can result in hostile effects of mortality salience ({MS}), such as derogation of outgroup members, prejudice, stereotyping, aggression, and racism, which, in turn, can lead to the escalation of violent intergroup conflict and, thus, the escalation of war. Yet, escalation of destructive conflict following {MS} is not automatic. Instead, research on {TMT} suggests that {MS} does not necessarily result in conflict and intolerance but can also foster positive tendencies, such as intergroup fairness or approval of pacifism, depending on how existential threat is perceived, whether the need for symbolic self-transcendence is satisfied, which social norms are salient, and how social situations are interpreted. In the present article, we review current {TMT} research with the aim of reconciling the seemingly contradictory findings of hostile and peaceful reactions to reminders of death. We present a terror management model of escalation and de-escalation of violent intergroup conflicts, which takes into account the interaction between threat salience and features of the social situation. We also discuss possible intervention strategies to override detrimental consequences of existential threat and argue that war is not the inevitable consequence of threat. ({PsycINFO} Database Record (c) 2016 {APA}, all rights reserved)","Jonas, Eva and Fritsche, Immo",0,,7
8,Religion and reactance to {COVID}-19 mitigation guidelines,"During the current {COVID}-19 pandemic, religious gatherings have become intense hot spots for the spread of the virus. In this research, we focus on the religiosity of communities to examine whether religiosity helps or hinders adherence to mitigation policies such as shelter-in-place directives. Prior research has made opposing predictions as to the influence of religiosity. One stream predicts greater adherence because of rule-abiding norms and altruistic tendencies, whereas another has predicted lower adherence as a reaction against the restriction of personal and religious freedom. We used shelter-in-place directives as an intervention in a quasiexperiment to examine adherence over 30 days as a function of religiosity in the most populous metropolitan areas in the United States. When a shelter-in-place directive had not been imposed, religiosity did not affect people’s movements. However, when the directive was imposed, higher religiosity resulted in less adherence to shelter-in-place directives. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","{DeFranza}, David and Lindow, Mike and Harrison, Kevin and Mishra, Arul and Mishra, Himanshu",0,,8
9,Youth extremism as a response to global threats? A threat-regulation perspective on violent extremism among the youth,"Violent extremism is rising across the globe as indicated by the growing number of attacks of terrorist organizations. It is known that violent extremism is carried out mainly by young people due to developmental and external factors. Furthermore, recent evidence suggests that ideologically motivated violence stems from threat-regulation processes aiming to restore significance, control, and certainty. Nevertheless, few studies from the threat-regulation literature have focused on youth samples and on the social-economic and political context in which radicalization processes occur. Here, we hypothesize that one driver of the surge in violent extremism might be globalization. To do so, we review the evidence that shows that globalization increases the perception of affiliative, economic, and existential threats. In return, some studies suggest that these kinds of threats promote violent extremism among youth samples. Therefore, we conclude that the threatening context generated by four decades of globalization might be a risk factor for youth extremism in the long run. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","Adam-Troian, Jais and Tecmen, Ayşe and Kaya, Ayhan",0,,9
10,Does social psychology persist over half a century? A direct replication of Cialdini et al’s (1975) classic door-in-the-face technique,"Many failed replications in social psychology have cast doubt on the validity of the field. Most of these replication attempts have focused on findings published from the 1990s on, ignoring a large body of older literature. As some scholars suggest that social psychological findings and theories are limited to a particular time, place, and population, we sought to test whether a classical social psychological finding that was published nearly half a century ago can be successfully replicated in another country on another continent. To this end, we directly replicated Cialdini et al.’s (1975) door-in-the-face ({DITF}) technique according to which people’s likelihood to comply with a target request increases after having turned down a larger request. Thereby, we put the reciprocal concessions theory—the original process explanation of the {DITF} technique—to a critical test. Overall, compliance rates in our replication were similarly high as those Cialdini et al. (1975) found 45 years ago. That is, participants were more likely to comply with a target request after turning down an extreme request than participants who were exposed to the target request only or to a similarly small request before being exposed to the target request. These findings support the idea that reciprocity norms play a crucial role in {DITF} strategies. Moreover, the results suggest that at least some social psychological findings can transcend a particular time, place, and population. Further theoretical implications are discussed. ({PsycInfo} Database Record (c) 2021 {APA}, all rights reserved)","Genschow, Oliver and Westfal, Mareike and Crusius, Jan and Bartosch, Léon and Feikes, Kyra Isabel and Pallasch, Nina and Wozniak, Mirella",0,,10
