X,title,abstract,authors,Included,doi,ID
2,Foundations of cognitive psychology,"In this chapter we try to answer the question, 'What is cognitive psychology?'. In so doing, we outline some of the foundational assumptions that cognitive psychologists tend to make, as well as some of the reasons why it is such an important and fascinating subject-not least the fact that it raises many deep and important questions concerning the mind. We consider some of the issues that have attracted and continue to attract the interest of cognitive psychologists, and some of the assumptions they make in order to develop models and theories. We also reflect upon the cognitive approach in general and the kinds of explanation cognitive psychologists favour, briefly considering the relations between cognitive psychology and other sub disciplines of psychology, and those between cognitive psychology and other disciplines (such as philosophy, computing, and linguistics). There are many substantial issues that we only touch on-it is not easy to define the relationship between two academic disciplines, for example-and so we only hope to convey something of their flavour here. Our aim in this chapter is therefore merely to introduce cognitive psychology, to explain some of its key distinguishing features, and to uncover some of the many broad issues lying beneath its surface. You will obtain a richer and more complete overview of cognitive psychology from reading subsequent chapters. You may find that the current chapter raises as many questions as it answers and that, as your reading of this book progresses, you periodically want to revisit this chapter to gain a better understanding of issues that, on first reading, seemed hazy. If this chapter only raises questions that you have in mind when you read subsequent chapters, and arouses your curiosity sufficiently that you periodically revisit it, it will have served its purpose well. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Braisby, Nick and Gellatly, Angus",0,,1
4,A note on stove and adding machine arrangement preferences as a function of sex and handedness,"In human factors classes and workshops taught over a period of 15 years (1984-1999) and in various locations throughout the United States we have used a stove (Fig. 1A) and adding machine (Fig. 113) exercise to illustrate some basic principles of human factors, Since handedness has been shown to be a significant variable in at least one human factors task (Chapanis & Gropper, 1968), we asked subjects to indicate their handedness and, as an additional variable of possible interest, their sex. This article presents the data we collected and summarizes briefly what the data show. The motivation for this study was our curiosity and not to test any hypothesis or theory.","Chapanis, A and Shafer, J B",0,,2
5,A ``Present'' for the Future: The Unexpected Value of Rediscovery,"Although documenting everyday activities may seem trivial, four studies reveal that creating records of the present generates unexpected benefits by allowing future rediscoveries. In Study 1, we used a time-capsule paradigm to show that individuals underestimate the extent to which rediscovering experiences from the past will be curiosity provoking and interesting in the future. In Studies 2 and 3, we found that people are particularly likely to underestimate the pleasure of rediscovering ordinary, mundane experiences, as opposed to extraordinary experiences. Finally, Study 4 demonstrates that underestimating the pleasure of rediscovery leads to time-inconsistent choices: Individuals forgo opportunities to document the present but then prefer rediscovering those moments in the future to engaging in an alternative fun activity. Underestimating the value of rediscovery is linked to people's erroneous faith in their memory of everyday events. By documenting the present, people provide themselves with the opportunity to rediscover mundane moments that may otherwise have been forgotten.","Zhang, Ting and Kim, Tami and Brooks, Alison Wood and Gino Francesca and and Norton, Michael I",0,10.1177/0956797614542274,3
7,Developing a Measure of Search Expertise,"While search expertise has long been considered an important variable in the study of online information search, the creation of a robust measure to characterize it has eluded researchers. Instead, those wishing to measure search expertise often include a single item that asks people to indicate how often they search or for how long they have been searching. In this paper, we report initial results of a four-phase study aimed at developing a measure of search expertise. Interviews and focus groups were conducted with nine professional searchers and an inventory of items related to online search expertise was created. While participants identified a number of usual items for determining search expertise, such as prior search experience, domain knowledge and resource knowledge, they also identified a large number of items related to personality characteristics such as persistence, flexibility, curiosity, adaptability and humility. These results suggest that measuring personality characteristics in addition to experience and knowledge might help determine who will be a more successful searcher. In today's search environments, where many people describe themselves as experts, representing these types of characteristics in a measure of search expertise might allow researchers and practitioners to observe more variation in populations of interest, design more effective instruction and make better predictions about search outcomes.","Bailey, Earl and Kelly, Diane",0,10.1145/2854946.2854983,4
8,Personality dimensions in animals,"Given the biological continuity between humans and other animals, it would seem obvious to ask whether there are dimensions of personality common to a wide range of species. Unfortunately, however, there is no unified body of research on animal personality that could answer this question; instead, the literature on animal personality is fragmented across the fields of agricultural science, animal behavior, anthropology, psychology, veterinary medicine, and zoology. My review of more than 70 animal-personality studies illustrates the breadth and diversity of the species studied, traits examined and methodologies used. Unfortunately, the methodological diversity of studies hampers attempts to compare them quantitatively. Thus, I present a conceptual integration of studies that have examined personality structure in 12 species, ranging from octopuses, guppies, and rats to gorillas and chimpanzees. This integration reveals some striking cross-species similarities, despite pronounced differences in observational and analytical methods. I next consider arguments against and in favor of cross-species generalizations and suggest three guidelines to facilitate a judicious approach to cross-species comparisons in personality psychology: (a) use appropriate species for the comparison of interest, (b) aim for converging evidence from several species, and (c) distinguish between the phylogenetic approach and the analysis of adaptation. Next, I present an empirical study of 34 spotted hyenas ( Crocuta crocuta) which found that (a) hyena personality traits were rated by four observers with reliabilities as high as in studies of humans, (b) five broad dimensions (Assertiveness, Excitability, Human-directed Agreeableness, Sociability, and Curiosity) captured about 75% of the total variance, (c) this dimensional structure could not be explained in terms of the animals' dominance status, sex, age, or appearance, and (d) as expected, female hyenas were more assertive than males. I conclude by proposing a research agenda for a comparative approach to personality that eventually can help understand the genetic, biological, and environmental bases of personality, as well as providing useful ways to examine personality change, personality types, and the formation of personality impressions. This agenda would complement, rather than replace, current research on human personality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Gosling, Samuel David",0,,5
9,A proposal for measuring interactivity that brings learning effectiveness,"It is proposed in this paper that some type of way to measure and visualize interactivity in the multimedia or e-Learning contents is necessary in order to clearly identify interactivity that brings learning effectiveness. Interactivity during learning will arouse students' intellectual curiosity and motivate them to learn further. Although the interaction in the communication between the teacher and his/her students in a regular classroom is ideal, it is not possible to maintain the equivalence in the multimedia or e-Learning contents. In order to rigorously formalize the field of measuring interactivity as a theory, theoretical constructs such as interactivity, interest, knowledge, and experience are redefined first. Then, the defined ""interactivity"" is broken down to subcomponents to develop an assessment tool for the interactivity which brings learning effectiveness. In the end, it is proved that the interactivity in learning can be measured.","Yamamoto, T",0,,6
10,"Mixing minds: Interpersonal relationships between Tibetan Buddhist Lamas and their western students, and psychoanalysts and their analysands: A study in contrasts","In the contrasting healing traditions of psychoanalysis and Buddhism, there is a shared belief in the potentially ameliorative impact of interpersonal relationship between designated healers and those seeking wellness. It is for this reason that both traditions, despite widely divergent methodologies and overarching purviews, privilege the process of revealing one's inner life to a primary healer. In this work the author examines how these intimate relationships between psychoanalysts and their analysands, and Buddhist teachers and their students, evolve and differ, with emphasis on the methods and end goals they consciously and unconsciously utilize. Through this comparative examination, this work seeks to encourage a growing interest in and respect for healing modalities that are unique to each tradition and healing couple. Through the psychoanalytic theories of Freud, Winnicott, Bion, Kohut, and Horney, the author examines how contemporary Western students steeped in both Eastern and Western traditions may experience relationship to their Buddhist teachers. The reader is asked to consider how such students may bring culturally specific psychological content to their Buddhist teachers. So too, the author explores the growing number of Western Buddhists who wish to examine their religious experience and relationship to Buddhist mentors, in their psychoanalytic healing efforts. The author proposes that these historically distinct traditions have begun mixing minds through this growing demographic of Western lay Buddhists who seek to examine both psyche and spirit in their respective healing journeys and relationships. Just as psychoanalysts and their patients, and Buddhist teachers and their students, exchange psychic content through their intersubjective experience, so too, these larger traditions have begun to cross-pollinate. This work searches for the boundaries of each tradition, so that practitioners and healers may consciously pursue their wish for healing with increased sensitivity to the limitations of any given healing system and relationship, and with an augmented curiosity for the methods and means through which healing transpires in the contrasting yet mutually informing worlds of psyche and spirit. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Jennings, Pilar",0,,7
11,Capturing Student Interest in Astrobiology through Dilemmas and Paradoxes,"Astrobiology is an interdisciplinary science course that combines essential questions from life, physical, and Earth sciences. An effective astrobiology course also capitalizes on students' natural curiosity about social science implications of studying the origin of life and the impact of finding life elsewhere in the universe. (Contains 2 figures.)","Slater, Timothy F",0,,8
12,Insular cortex activity as the neural base of intrinsic motivation,"Many psychologists posit that intrinsic motivation generated by personal interest and spontaneous satisfactions is qualitatively different from extrinsic motivation generated by external rewards. However, the contemporary neural understanding of human motivation has been developed almost exclusively based on the neural mechanisms of extrinsic motivation. In neuroscience studies on extrinsic motivation, striatum activity has been consistently observed as the core neural system related to human motivation. Recently, a few studies have started examining the neural system behind intrinsic motivation. Though these studies have found that striatum activity is crucial for the generation of intrinsic motivation, the unique neural basis of intrinsic motivation has not yet been fully identified. I suggest that insular cortex activity, known to be related to intrinsic enjoyment and satisfaction, is a unique neural component of intrinsic motivation. In this chapter, I addressed the theoretical background to and empirical evidence for this postulation. <c2><a9> 2017 by Emerald Group Publishing Limited All rights of reproduction in any form reserved.","Lee, W",0,10.1108/S0749-742320160000019016,9
13,STEM in fashion design: The roles of creative self-efficacy and epistemic curiosity in creative performance,"Integrated learning of STEM (science, technology, engineering, and mathematics) has become a challenge in the field of technical education. To understand the effect of STEM learning, in this study, we first identified the components of STEM in relation to bag design, then asked students to learn STEM knowledge as they designed bags. In this context, we explored how learners' creative self-efficacy (CSE) related to two types of epistemic curiosity (EC) (i.e., interest type and deprivation type) and reflected the STEM knowledge they acquired and their creative performance (i.e., novelty, utility, and aesthetics). The data were subjected to confirmatory factor analysis with structural equation modeling. The results revealed that CSE was positively related to two types of EC, and knowledge acquired was positively related to creative performance. The indirect correlates between CSE and knowledge acquired, EC and creative performance, and CSE and creative performance were positively mediated by other constructs. The implication of this research is that integrating STEM into the study of fashion design can improve students' creative performance. <c2><a9> 2019 by the authors.","Hong, J.-C. and Ye, J.-H. and Fan, J.-Y.",0,10.29333/ejmste/108455,10
