key,title,abstract,keywords,authors,year,Included,ID
1,"Working with Young Children with Disabilities: Perceptions, Skills, and Training Needs of Head Start Teachers","Increasing numbers of young children with disabilities are receiving services in inclusive settings such as Head Start. It is important to note that positive outcomes for young children with disabilities are due in large part to practitioners' understanding and implementation of both recommended practices in both early care and education and early childhood special education. This study examined the Head Start teachers' perceptions, skills, and professional development needs to best serve young children with disabilities. Results revealed positive perceptions about including young children with disabilities in Head Start programs. Teachers indicated that they could organize the environment, observe children's developmental progress, and implement positive guidance strategies. Perceptions were mixed regarding skills to work with families, related professionals, and support staff and there was limited agreement about implementing Individualized Education Program (IEP) goals and objectives, alternate forms of communication, and working with young children with motor impairments. Implications for research, practice, and policy are provided. (Contains 3 tables.)","Child;Only Child;Disabled Children;Physical Disabilities;Faculty Development;Individualized Education Programs;Augmentative and Alternative Communication;Disadvantaged Youth;Early Intervention;Child Development;Disabilities;Teaching Skills;Educational Needs;Mainstreaming;Teacher Attitudes;Teacher Improvement;Special Needs Students;Young Children;Classroom Environment;Parent Teacher Cooperation;Inclusive Schools;Teacher Collaboration;Preschool Teachers;Early Childhood Education;Teachers;ERIC, Current Index to Journals in Education (CIJE)","Bruns, Deborah A. and Mogharreban, Cathy C.",2008.0,0,1
2,Underuse of Yoga as a Referral Resource by Health Professions Students.,"Objective: Nearly 38% of U.S. adults use complementary and alternative medicine approaches to manage physical conditions (e.g., chronic pain, arthritis, cancer, heart disease, and high blood pressure) and psychological or emotional health concerns (e.g., post-traumatic stress disorder, anxiety, and depression). Research evidence has accumulated for yoga as an effective treatment approach for these conditions. Further, yoga has increased in popularity among healthcare providers and the general population. Given these trends, this study explored perceptions about yoga as a viable complementary treatment to which health professions students would refer patients. Participants: More than 1500 students enrolled in health professions programs at a Pacific Northwest school were enrolled; data were obtained from 478 respondents. Design: The study assessed willingness to refer patients to yoga as a complementary and alternative medicine for 27 symptoms (identified in the literature as having evidence for yoga's utility), which were subsequently grouped into skeletal, physical, and psychological on the basis of factor analysis. Responses were assessed using a mixed-model analysis of variance with health profession and yoga practitioner as between-subjects variables and symptoms as a within-subjects factor. Results: In descending order of likelihood to refer patients to yoga were students in occupational therapy, physician assistant program, psychology, physical therapy, pharmacy, dental hygiene, speech and audiology, and optometry. All groups perceived yoga's greatest utility for skeletal symptoms, followed by psychological and physical symptoms. Findings also revealed a significant positive relationship between level of personal yoga practice and willingness to refer patients to yoga. Conclusions: Although students expressed some openness to referring patients to yoga, ratings of appropriateness were not accurately aligned with extant evidence base. Personal experience seemed to be a salient factor for accepting yoga as a referral target. These findings suggest the importance of developing strategies to make health professionals more aware of the merits of yoga, regardless of whether they themselves are yoga practitioners.","Complementary Therapies;Stress Disorders, Post-Traumatic;Health Occupations;Adult;Female;Male;United States;Statistical Significance;Pain;Education;Optometry;Students, Speech-Language Pathology;Students, Dental;Students, Pharmacy;Students, Physical Therapy;Education;Psychology;Physician Assistants;Students, Occupational Therapy;Descriptive Statistics;Analysis of Variance;Stress, Psychological;Pathology;Musculoskeletal System;Alternative Therapies;Human;Students, Health Occupations;Student Attitudes;Methods;Therapeutic Exercise;Yoga;Referral and Consultation","Sulenes, Kari and Freitas, Jillian and Justice, Lauren and Colgan, Dana Dharmakaya and Shean, Margaret and Brems, Christiane",2015.0,0,2
3,School Experiences of an Adolescent with Medical Complexities Involving Incontinence,"The educational implications of chronic illnesses which involve incontinence are not well represented in the literature. The experiences of an adolescent with multiple complex illnesses, including incontinence, were explored via an intrinsic case study. Data were gathered from the adolescent, her mother, and teachers through interviews, email correspondence and school documentation over four months. Analytic memo writing was used to promote reflexivity and address researcher subjectivity. Three prominent themes emerged. There were excessive absences from school which were not always due to the physical implications of the student's incontinence. Some absences were attributed to fear of accidents at school or even fabricated by the student to avoid attendance. Next, an incomplete and inconsistent support and communication system was found which contributed to academic underachievement. Finally, the persona presented by the student led to inaccurate assumptions by school personnel and sometimes her mother regarding her ability to cope with her condition.",H-Reflex;Chronic Disease;Adolescent;United States (Southeast);Emotional Response;Educational Environment;Academic Achievement;Student Attitudes;Physical Disabilities;High School Students;Student Characteristics;Coping;Underachievement;Communication Strategies;Student Needs;Anxiety;Attendance Patterns;Documentation;Interviews;Hygiene;Chronic Illness;Adolescents;Student Experience,"Filce, Hollie Gabler and Bishop, John B.",2014.0,0,3
4,Using Tablet Computers with Elementary School Students with Special Needs: The Practices and Perceptions of Special Education Teachers and Teacher Assistants,"Twelve special education teachers and teacher assistants who have instructional experience using iPads with children with special needs completed a survey that queried their practices and perceptions. In general, teachers and assistants were extremely positive about the value of iPads for children with special needs, particularly for children with autism, attention deficits and limitations of fine motor control. Special education teachers and teacher assistants reported most frequently using iPads to promote student language and literacy skills, although mathematics learning activities were also commonly reported. Enhanced student motivation was the most frequently reported benefit of using tablet computers in school followed by instructional planning advantages. Tablet computers appear to have the potential to be an essential aspect of individual program plans. Teaching tasks might reasonably include downloading and organizing specific applications on specific children's tablets and professional development might increasingly focus of evaluation of tablet applications.",Child;Only Child;Australia;Foreign Countries;Skill Development;Planning;Student Motivation;Mathematics Instruction;Literacy Education;Computer Games;Web Sites;Computer Mediated Communication;Electronic Mail;Teacher Surveys;Educational Technology;Teaching Methods;Laptop Computers;Disabilities;Teacher Aides;Special Education Teachers;Elementary School Students;Computer Uses in Education,"Johnson, Genevieve Marie",2013.0,0,4
5,The Influence of Social Skills Instruction on Sport and Game Related Behaviours of Students with Emotional or Behavioural Disorders,"Background: Many educators assume that students develop appropriate social skills as a by-product of participation in physical education and sports (Hellison 2003). However, it has been demonstrated that appropriate social behaviours improve when interventions are implemented (Balderson and Sharpe 2005). It is known that students with disabilities, especially those with emotional or behavioural disorders, typically do not exhibit appropriate social behaviors (Gresham, Sugai, and Horner 2001). Purpose: The purpose of this study was to examine the influence of social skills instruction on the sport-and game-related behaviours of students with emotional or behavioural disorders. The study specifically addressed the instruction's influence on appropriate and inappropriate behaviours within both physical education and recess (break time) settings. Participants and setting: Six students (two females and four males) ages 10 through 17 and attending alternative education school programs designed to serve children and youth with emotional or behavioural disabilities participated in the study. Research design and intervention: A multiple baseline across participants design was used. A validated Appropriate Sport and Game Behaviours Curriculum modeled on the one used by Moore, Cartledge, and Heckman (1995) was implemented. The curriculum consisted of 15 lesson plans focusing on appropriate behaviours. Examples of appropriate behaviours consisted of respecting one's own equipment and that of others, congratulating the winner, avoiding blaming teammates, following rules, working cooperatively, and avoiding criticizing the loser. Instructional sessions took place three times per week and were between 20 and 25 minutes in duration. Data collection and analysis: Data were gathered from videotaped sessions for both physical education and recess settings. Observers were trained to code the dependent variables. In addition, interobserver reliability data were collected during randomly selected sessions for all participants across both settings. Procedural integrity was established to ensure that the intervention was implemented as intended. Visual analysis of behaviours was performed using graphical representation of data. Data were subjected to a trend analysis. Mean increases and decreases of appropriate and inappropriate behaviours were presented. Results and recommendations: In general, results were mixed. Five of the six participants (83%) were able to increase appropriate sports/games behaviours and decrease inappropriate behaviours in a physical education (acquisition) setting, and three of the six participants (50%) in a recess (generalisation) setting. While appropriate behaviours were above and inappropriate behaviours were below baseline levels, only one participant (17%) was able to maintain intervention levels. It is recommended that the intervention be extended over a longer period of time.",Emotions;Physical Education and Training;Sports;United States (Midwest);Nontraditional Education;Adolescents;Children;Interrater Reliability;Observation;Games;Outcomes of Education;Behavior Change;Trend Analysis;Equipment;Special Schools;Recess Breaks;Physical Education;Intervention;Team Sports;Teaching Methods;Interpersonal Competence;Disabilities;Emotional Disturbances;Behavior Disorders;Social Behavior,"Samalot-Rivera, Amaury and Porretta, David",2013.0,0,5
6,An Examination of Current Adapted Physical Activity Provision in Primary and Special Schools in Ireland,"The Disability in Sport Taskforce report examining adapted physical activity (APA) in the Irish context (Department of Education and Science, 1999) found that teachers involved in primary mainstream and specialist settings expressed a grave lack of self-confidence, due to lack of training, in the delivery of APA programmes to children with special educational needs (SEN). A further study by Meegan and MacPhail (2006) indicated the need to promote positive attitudes among Irish physical educators toward teaching students with SEN as well as improving initial teacher training and postgraduate training for SEN in physical education (PE). The aim of this study was to examine the current status of APA in primary and special school settings in Ireland, by postal questionnaire. The overall response rate was 42% (n = 171). Key findings indicated that respondents (100%) wished to participate in further specific training in APA leading to a formal qualification. Respondents expressed dissatisfaction with initial teacher training (60%), minimal ongoing in-service provision (70%) and limited teaching resources (68%) for the provision of quality APA to children with SEN. (Contains 1 table.)",Physical Education and Training;Child;Only Child;Motor Activity;Ireland;Educational Resources;Educational Quality;Inservice Teacher Education;Teacher Education Programs;Teacher Qualifications;Faculty Development;Questionnaires;Self Efficacy;Teacher Effectiveness;Mainstreaming;Adapted Physical Education;Elementary Schools;Foreign Countries;Disabilities;Physical Activities;Educational Needs;Physical Education;Special Schools,"Crawford, Susan",2011.0,0,6
7,The Quality of Life of a Child with Asperger's Disorder in a General Education Setting: A Pilot Case Study,"This pilot qualitative case study was designed to investigate how the quality of life (QOL) of a child with Asperger's Disorder was impacted by her placement in an inclusive education setting which provided no specialized social skills instruction. Direct and indirect data were gathered and examined regarding themes that centered around QOL dimensions and exemplary indicators derived from the body of literature regarding QOL measurement for persons with disabilities. Positive results included participant satisfaction with physical safety, teacher acceptance, and access to needed materials. Other findings indicated the need for social skills instruction and individualized instruction in non-applied abstract learning activities. Additional findings from the study demonstrated the need for a more comprehensive individualized education program (IEP) and more rigorous implementation of the IEP. (Contains 2 tables and 1 figure.)",Child;Disabled Persons;Only Child;Regular and Special Education Relationship;Self Determination;Play;Well Being;Elementary School Students;Socialization;Special Needs Students;Student Needs;Equal Education;Attitudes toward Disabilities;Teacher Attitudes;School Safety;Skill Development;Interpersonal Relationship;Student Placement;Mainstreaming;Interpersonal Competence;Individualized Instruction;Questionnaires;Quality of Life;Asperger Syndrome;Participant Satisfaction;Individualized Education Programs;Inclusive Schools,"Mayton, Michael R.",2005.0,0,7
8,Negotiating Normalcy with Peers in Contexts of Inclusion: Perceptions of Youth with Disabilities in India,"The qualitative study reported in this article investigated how youth with disabilities in India described their peer relationships within their educational settings. We situate the aims of this study within the larger context of inclusive education in India and discourses on self-determination for individuals with disabilities. Findings from the study suggest that students with disabilities actively sought membership in their peer communities but had few opportunities within inhospitable schooling contexts to represent themselves in ways other than as needing help. For families of students with disabilities, the onerous demands of making physical environments and curricular materials accessible to their children left them isolated within schools and their communities. The study sheds light on families' reluctance to abandon legal guardianship models in order to support increased self-determination for their children, and also raises important questions for activist educators working within complex conditions such as the Indian context. (Contains 7 notes and 1 table.)",Adolescent;India;Qualitative Research;Social Capital;Interpersonal Relationship;Context Effect;Helping Relationship;Identification (Psychology);Friendship;Nongovernmental Organizations;College Students;High School Students;Educational Practices;Inclusion;Family Involvement;Educational Environment;Group Membership;Student Behavior;Peer Relationship;Disabilities;Foreign Countries,"Naraian, Srikala and Natarajan, Poonam",2013.0,0,8
9,Sociodemographic analysis of drug use among adolescent athletes: observations-perceptions of athletic directors-coaches.,"Through observations and perceptions of athletic directors/coaches, this study (1) broadly examined substance abuse of adolescent (high school) student-athletes; (2) made comparisons of substance abuse between student-athletes and students comprising the general student body; and (3) made selected comparisons of substance abuse between the regional data of this study and that of a national survey of high school coaches done by George H. Gallup International Institute (1991). Some comparisons were also made with the findings of a survey of drug use patterns among a sample of 10,883 public school students conducted by the Alcohol and Drug Defense (ADD) Section, North Carolina Department of Public Instruction (1991; 1989; 1987a, 1987b) and a survey of drug use patterns among 2,685 high school student-athletes (Shields, 1988). The drug abuse problem for student-athletes was observed-perceived to be of lesser magnitude regionally than nationally and to be less for student-athletes with their peers in the general student body. In virtually every comparison of student-athletes with their peers in the general student body, the drug problem was seen to be less for student-athletes, and in some instances, dramatically less.",Substance-Related Disorders;Sports;North Carolina;Humans;Adolescent Behavior;Adolescent,"Shields, E W",1995.0,0,9
10,Conceptions Associated with Sense of Belonging in Different School Placements for Finnish Pupils with Special Education Needs,"The aim of this study was to examine conceptions associated with sense of belonging (SEBE) in Finnish general and special school placements for pupils with special education needs. Five pupils were selected for this study by means of purposive sampling. They had a history of several school placements prior to arriving at their current special school. Qualitative phenomenographic analyses of interview transcripts revealed numerous conceptions regarding the pupils' SEBE in the different educational placements. The pupils had undergone numerous placements in which their SEBE had been jeopardised, as disturbing relationships with teachers and peers seemed to have affected the pupils' mental and physical well-being, resulting in disturbing behaviours in their earlier educational settings. Despite the various placements and issues of ableism, stigmatisation and exclusion, the pupils felt ""better"" in their current, special, school with a positive climate. Furthermore, the findings of this study provided an initial exploration of the phenomenon, as well as shed light on the several limitations encountered. Hence, further exploration of school cultures and the role of teachers' values and beliefs is needed for a better understanding of how to create a school climate that supports SEBE for all pupils.",Pupil;Finland;Semi Structured Interviews;Educational Environment;Barriers;Reliability;Credibility;Grade 8;Grade 7;Participant Characteristics;Secondary School Students;Federal Legislation;Educational Legislation;Behavior Change;Peer Relationship;Negative Attitudes;Social Bias;Attitudes toward Disabilities;Teacher Student Relationship;Student Attitudes;Transcripts (Written Records);Phenomenology;Qualitative Research;Group Membership;Special Education;Student Placement;Foreign Countries,"Pesonen, Henri and Kontu, Elina and Saarinen, Minna and Pirttimaa, Raija",2016.0,0,10
