X,title,abstract,authors,Included,ID
1,Oral sweet solution reduces pain-related behaviour in preterm infants,"To evaluate the effectiveness of oral sucrose in the prevention of pain-induced crying in preterm infants, a sample of 28 healthy neonates (15M, 13F","Abad, F. and Díaz, N. M. and Domenech, E. and Robayna, M. and Rico, J.",0,1
2,Acupressure at BL60 and K3 Points Before Heel Lancing in Preterm Infants,"CONTEXT: Acupressure is an ancient Chinese healing art. In this pain-relieving method, the fingers are used to press key acupuncture points on the skin surface that stimulates the body׳s regulatory processes. OBJECTIVE: The aim of this study was to investigate the effect of acupressure at Kun Lun (UB60) and Taixi (K3) points for pain management in preterm infants prior to heel lancing for blood collection. DESIGN: This was a prospective, randomized controlled study. SETTING: The study setting was the neonatal intensive care unit at Baskent University Hospital in Turkey. PATIENTS: A total of 32 preterm infants between 28 and 36 weeks׳ gestational age were randomly assigned to one of two groups: an acupressure group (n = 16) or a control group (n = 16). INTERVENTION: In the acupressure group, immediately before the heel prick, acupressure was applied for three minutes at UB60 and K3 points. MAIN OUTCOME MEASURES: A behavioral pain score was determined using the Premature Infant Pain Profile (PIPP) scale. RESULTS: There were no significant differences between the groups with respect to gestational age, birth weight, sex, mode of delivery, age at time of procedure, weight at time of procedure, or PIPP score. Mean duration of procedure and mean duration of crying were both shorter in the acupressure group (both P = .001). CONCLUSIONS: Applying acupressure at the BL60 and K3 points before heel lancing was associated with shorter procedural time and shorter duration of crying in preterm infants.","Abbasoğlu, A. and Cabıoğlu, M. T. and Tuğcu, A. U. and İnce, D. A. and Tekindal, M. A. and Ecevit, A. and Tarcan, A.",0,2
3,Soothing methods used to calm a baby in an Arab country,"This study was undertaken to determine how mothers soothed their crying infants. A total of 1137 mothers of different cultural backgrounds were approached, 998 agreed to participate in the study, but only 716 completed the questionnaire through a telephone interview. Analysis was restricted to 702 mothers from the UAE nationality, other Arabs, other Muslims, Indians and Philippinos. The questionnaire contained 23 questions on different soothing methods. The most common soothing method was breast-feeding (99.1%), followed by holding and carrying the infant (96.9%), letting infant suck on his thumb or finger (87.3%), herbal tea (65%), night bottle (42.1%) and swaddling infant (19.5%). Over 90% of mothers of all nationalities, preferred not to use pacifiers. Soothing herbs were often used, with the commonest being anise (165 mothers used anise). Fennel tea was also used by a substantial number of mothers (75), with gripe water (64), cumin (33), chamomile (32), mint (22) and fenugreek (16) making up most of the rest. Conclusion: Mothers' ethnicity and nationality strongly impacted on the soothing methods used, with Arabs more often using herbal tea, prone positioning and swaddling to calm infants and illustrate the importance of culture in the upbringing of children from a very early age. © 2008 The Author(s).","Abdulrazzaq, Y. M. and Kendi, A. A. and Nagelkerke, N.",0,3
4,"The mechanisms and moderators of ""fade-out"": Towards understanding why the skills of early childhood program participants converge over time with the skills of other children","Early childhood education (ECE) programs have been shown to produce immediate positive impacts on children's cognitive abilities, academic knowledge, and social-emotional skills. However, some research suggests that impacts may be modest and short-lived. That is, even though ECE enables participating children to begin kindergarten with greater skills on average compared with their peers, the skills of ECE attendees and nonattendees appear to converge as children progress through school. Thus, any initial differences between these groups observed at school entry are reduced or eliminated over time, a phenomenon that has been described as ""fade-out,"" ""catch-up,"" or both. This systematic review assesses our current understanding of the conditions under which ECE impacts persist or fade over time, which is critical because of the potential intervention and policy implications. Recent work has begun to make progress in this direction, but future efforts that address the present gaps and limitations of the field are needed in order to maximize the long-term impacts of the next generation of ECE programs. © 2019 American Psychological Association.","Abenavoli, R. M.",0,4
5,Improving parenting practices and development for young children in Rwanda: Results from a randomized control trial,"It is well known that the first 1,000 days of life have long-lasting impact on a child’s cognitive, language, socio-emotional, and physical development, but there is little evidence from Rwanda about how to maximize parent–child interactions during these critical early years. Save the Children piloted the First Steps “Intera za Mbere” early childhood parenting education program in one district of Rwanda to promote healthy development through holistic parenting education. Using a cluster randomized control trial, we assessed outcomes of a 17-week parenting education on parenting skills and child development for families with children aged 6–36 months. Families were randomly allocated into three study groups: light touch (n = 482), full intervention (n = 482), and control (n = 483) groups. We used a Kinyarwanda-adaptation of the validated Ages & Stages Questionnaires (ASQ), a Home Observation Measurement of the Environment-Short Form. Multivariate linear and logistic regression analyses were used for both the intention-to-treat analyses and more robust models controlling for ASQ form received, child gender, maternal education, number of children in the home, and baseline ASQ scores. Findings indicate that children in the light touch and full intervention groups were significantly more likely to meet the ASQ benchmarks than the control group in all developmental domains. The strong positive results from the light touch group are especially relevant to efforts to bring beneficial early childhood stimulation programs to scale in low-income contexts. © The Author(s) 2019.","Abimpaye, M. and Dusabe, C. and Nzabonimpa, J. P. and Ashford, R. and Pisani, L.",0,5
7,Temperament in infancy and behavioral and emotional problems at age 5.5: The EDEN mother-child cohort,"Objective: Early temperamental characteristics may influence children's developmental pathways and predict future psychopathology. However, the environmental context may also shape or interact with infant temperament and indirectly contribute to increased vulnerability to adverse developmental outcomes. The aim of the present study is to explore the long-term contribution of temperamental traits at twelve months of age to the presence of emotional and behavioral problems later in childhood, and whether this association varies with the child's sex, parental separation, family socioeconomic status and maternal depression. Method: 1184 mother-child pairs from the EDEN mother-child birth cohort study based in France (2003-2011), were followed from 24-28 weeks of pregnancy to the child's fifth birthday. Infant temperament at 12 months was assessed with the Emotionality Activity and Sociability (EAS) questionnaire and behavior at 5.5 years was assessed with the Strengths and Difficulties Questionnaire (SDQ). Results: Emotional temperament in infancy predicts children's overall behavioral scores (β = 1.16, p<0.001), emotional difficulties (β = 0.30, p<0.001), conduct problems (β = 0.51, p<0.001) and symptoms of hyperactivity/inattention (β = 0.31, p = 0.01) at 5.5 years. Infants' active temperament predicts later conduct problems (β = 0.30, p = 0.02), while shyness predicts later emotional problems (β = 0.22, p = 0.04). The association between the child's temperament in infancy and later behavior did not vary with children's own or family characteristics. Conclusion: An emotional temperament in infancy is associated with higher levels of emotional and behavioral difficulties at the age of 5.5 years. Children who show high emotionality early on may require early prevention and intervention efforts to divert possible adverse developmental pathways. © 2017 Abulizi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Abulizi, X. and Pryor, L. and Michel, G. and Melchior, M. and Van Der Waerden, J. and Annesi-Maesano, I. and Bernard, J. Y. and Botton, J. and Charles, M. A. and Dargent-Molina, P. and De Lauzon-Guillain, B. and Ducimetière, P. and De Agostini, M. and Foliguet, B. and Forhan, A. and Fritel, X. and Germa, A. and Goua, V. and Hankard, R. and Heude, B. and Kaminski, M. and Larroque, B. and Lelong, N. and Lepeule, J. and Magnin, G. and Marchand, L. and Nabet, C. and Pierre, F. and Slama, R. and Saurel-Cubizolles, M. J. and Schweitzer, M. and Thiebaugeorges, O.",0,6
8,An Examination of Peer-Delivered Parenting Skills Programs Across New York State,"Peers are an important adjunct to the public mental health service system, and are being increasingly utilized across the country as a cost-effective solution to workforce shortages. Despite the tremendous growth of peer-delivered support over the past two decades, it has only been within the past few years that peer programs have been the subject of empirical inquiry. The purpose of this study was to examine the prevalence and characteristics of peer-delivered parenting programs across the New York State public mental health service system. We surveyed 46 family peer organizations across New York State regarding their delivery of structured peer-delivered parenting programs. Thirty-four (76%) completed the questionnaire, and of them, 18 (53%) delivered a parenting program. Subsequent interviews with seven of the 18 organizations revealed peer organizations had been delivering eight unique parenting programs for upwards of two decades. Additionally, organizations offered multiple supports to families to participate. Training, supervision, and issues around fidelity are discussed, as well as the implications of this study for states utilizing a peer workforce. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Acri, M. C. and Craig, N. and Adler, J.",0,7
9,Pacifier use in children: A review of recent literature,"Pediatric dentists are generally well aware of the oral implications of nonnutritive sucking (NNS). NNS via digit or pacifier can effect changes in the occlusion, including openbite, excessive overjet, and possibly posterior crossbite. Skeletal changes have also been attributed to NNS. There is some evidence that pacifiers may do less harm to the dentition, particularly because pacifier habits are often spontaneously shed at about 2 to 4 years of age. Digit habits are more likely to persist into the school-age years and can require appliance therapy for discontinuation. Thus, some authorities suggest that pacifiers be recommended for infants who engage in NNS. While pediatric dentists understand the oral and perioral effects of pacifiers, they may be less well versed in other aspects of pacifier use that have been reported in the medical, nursing, chemical, and psychological literature. This paper provides reviews of literature concerning the role of pacifier NNS in 4 areas: (1) sudden infant death syndrome","Adair, S. M.",0,8
10,Shedding light on excessive crying in babies,"Background: Excessive and inconsolable crying behavior in otherwise healthy infants (a condition called infant colic (IC)) is very distressing to parents, may lead to maternal depression, and in extreme cases, may result in shaken baby syndrome. Despite the high prevalence of this condition (20% of healthy infants), the underlying neural mechanisms of IC are still unknown. Methods: By employing the latest magnetic resonance imaging (MRI) techniques in newborns, we prospectively investigated whether newborns’ early brain responses to a sensory stimulus (smell) is associated with a subsequent crying behavior. Results: In our sample population of 21 healthy breastfed newborns, those who developed IC at 6 weeks exhibited brain activation and functional connectivity in primary and secondary olfactory brain areas that were distinct from those in babies that did not develop IC. Different activation in brain regions known to be involved in sensory integration was also observed in colicky babies. These responses measured shortly after birth were highly correlated with the mean crying time at 6 weeks of age. Conclusions: Our results offer novel insights into IC pathophysiology by demonstrating that, shortly after birth, the central nervous system of babies developing IC has already greater reactivity to sensory stimuli than that of their noncolicky peers. Impact: Shortly after birth, the central nervous system of colicky infants has a greater sensitivity to olfactory stimuli than that of their noncolicky peers. This early sensitivity explains as much as 48% of their subsequent crying behavior at 6 weeks of life.Brain activation patterns to olfactory stimuli in colicky infants include not only primary olfactory areas but also brain regions involved in pain processing, emotional valence attribution, and self-regulation.This study links earlier findings in fields as diverse as gastroenterology and behavioral psychology and has the potential of helping healthcare professionals to define strategies to advise families. © 2020, International Pediatric Research Foundation, Inc.","Adam-Darque, A. and Freitas, L. and Grouiller, F. and Sauser, J. and Lazeyras, F. and Van De Ville, D. and Pollien, P. and Garcia-Rodenas, C. L. and Bergonzelli, G. and Hüppi, P. S. and Leuchter, R. H. V.",0,9
11,Ecological momentary assessment of using food to soothe during infancy in the INSIGHT trial,"Background: Use of food to soothe infant distress has been linked to greater weight in observational studies. We used ecological momentary assessment to capture detailed patterns of food to soothe and evaluate if a responsive parenting intervention reduced parents' use of food to soothe. Methods: Primiparous mother-newborn dyads were randomized to a responsive parenting intervention designed for obesity prevention or a safety control group. Responsive parenting curriculum included guidance on using alternative soothing strategies (e.g., swaddling), rather than feeding, as the first response to infant fussiness. After the initial intervention visit 3 weeks after delivery, mothers (n = 157) were surveyed for two 5-8 day bursts at infant ages 3 and 8 weeks. Surveys were sent via text message every 4 h between 10:00 AM-10:00 PM, with 2 surveys sent at 8:00 AM asking about nighttime hours. Infant fusses and feeds were reported for each 4-h interval. Food to soothe was defined as ""Fed First"" and ""Not Fed First"" in response to a fussy event. Use of food to soothe was modeled using random-intercept logistic regression. Results: The control group had greater odds of having Fed First, compared to the responsive parenting group at ages 3 and 8 weeks (3 weeks: OR = 1.9","Adams, E. L. and Marini, M. E. and Brick, T. R. and Paul, I. M. and Birch, L. L. and Savage, J. S.",0,10
