key,title,abstract,keywords,authors,year,url,Included,ID
1,Predictors of Performance on an iPad-Based Reading Comprehension Intervention among Spanish-Speaking Dual Language Learners at Risk for Reading Comprehension Delays,"Purpose: The purpose of this study was to evaluate the efficacy of the EMBRACE Spanish support intervention for at-risk dual language learners and to determine which verbal and nonverbal characteristics of students were related to benefit from the intervention. The first study examined oral language and reading characteristics and the second study examined motor characteristics in predicting the children's outcomes on a reading comprehension intervention. Method: Fifty-six participants in 2nd-5th grade were randomly assigned to one of two groups: 1) Spanish-support intervention, or 2) Spanish-support control. Outcome measures 1d performance on comprehension questions related to intervention texts, questions on the final narrative and expository text without strategy instruction, and difference scores on alternate forms of the Gates-MacGinitie (GMRT-4, MacGinitie, MacGinitie, Maria, & Dreyer, 2002) reading comprehension subtest administered pre- post-intervention. Multi-level hierarchical linear models were used to account for nesting of question within child within classroom. Regression models were used to examine the power of motor predictors in predicting Spanish and English language performance. Results: Results from study 1 indicated that the intervention was most effective for narrative (vs. expository) texts and easy (vs. more difficult) texts. Dual language learners (DLLs) with lower initial English reading comprehension abilities benefitted more from the intervention than those with stronger reading skills. Results: Results from Study 2 indicated that oral fine motor abilities predicted Spanish (but not English) oral language abilities in the expected direction (i.e. faster performance associated with higher language scores). The speed of /pata/ productions predicted reading comprehension during the intervention, but not in the expected direction (i.e. slower speeds associated with higher accuracy). Manual fine motor performance on tapping tasks was not related to language or reading. Conclusions: The EMBRACE intervention has promise for use with at-risk DLLs. Future research should take care to match text difficulty with child skills so as to maximize benefit from the intervention. Oral fine motor abilities were related to language abilities in DLLs, but only for the native language. Slower oral fine motor performance predicted higher accuracy on intervention questions, suggesting that EMBRACE may be particularly effective for children with weak fine motor skills. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]",Accuracy; At Risk Students; Bilingualism; Computer Assisted Instruction; Correlation; Elementary School Students; English (Second Language); Gates MacGinitie Reading Tests; Handheld Devices; Hierarchical Linear Modeling; instructional effectiveness; intervention; Oral Language; Outcomes of Education; Predictor Variables; Psychomotor Skills; reading comprehension; reading instruction; Reading strategies; Reading Tests; Regression (Statistics); Scores; Second Language Learning; Spanish,"Adams, Ashley",2017.0,,1,1
2,Strategic Production of Predictive Inferences During Comprehension,"Although some types of inferences are mandatory for readers, predictive inferences (inferences for what will happen next) are generally considered elaborative or optional. Three experiments measuring probe word lexical decision latencies produced evidence for the online generation of predictive inferences during narrative text comprehension. Participants read passages that were designed to elicit inferences about what would happen next at a certain point in the story. Immediately following the point at which the inference was anticipated (the inference-generating sentence), a lexical decision probe word was presented that was related to the expected inference. Lexical decision latencies were shorter for probes related to the inference but only when the comprehension task encouraged prediction as a reading strategy. The results support the hypothesis that the production of predictive inferences is relatively strategy dependent.",Computer Assisted Testing; Inferences; Measures (Individuals); Prediction; reading comprehension; Reading strategies; Vocabulary,"Allbritton, David",2004.0,,1,2
3,International mindfulness instructional design (IMID): Podcasting impact on Florida Latino-American college online reading scores,"The previously untested effect of animated podcasting employed as an online reading instructional strategy was quantitatively tested on Florida Latino college student online reading comprehension. The problem addressed whether podcasting, incorporating mindfulness, as an online instructional strategy might have an effect on students' reading comprehension. Using a quasi-experimental design, students were assigned to intervention and comparison groups, each consisting of at least 30 U.S.-born male Latinos, 30 U.S.-born female Latinas, 30 foreign-born male Latinos, and 30 foreign-born female Latinas. The study's three overarching research questions asked, first, whether there would be a main effect in reading comprehension scores of podcast intervention participants as compared to non-intervention participants, regardless of their gender and ethnicity; second, if there would be an interaction between intervention and ethnicity; and third, if there would be a three way interaction between gender, ethnicity and intervention. The Online Reading Assessment (ORA), was used as the data collection instrument for participating students in both intervention and comparison groups. The ORA was chosen as it assessed the reader's ability to arrange and synopsize the writing and to interpret visual charts or other information, all study skills deemed essential for college reading. The study hoped to find a main effect in the online reading comprehension scores of Latino college students receiving the podcast intervention as compared to their peers not receiving it regardless of their gender and ethnicity, as well as a possible interaction effect between ethnicity and intervention; and a three way interaction between intervention, ethnicity and gender. The results showed no statistical main effect on the reading comprehension of online Latino students enrolled in blended and online courses in a Florida college that received this study's podcasting intervention and those who did not. However, a statistical interaction between intervention and ethnicity as well as a three-way interaction between intervention, ethnicity and gender, were shown. Consistent with prior recommendations found in the literature, this study recommended additional podcasting instructional strategy research in this newly developing medium. Given female Latina academic underperformance to male Latinos, this recommendation 1d research on interactions arising in podcasting between intervention, ethnicity and gender. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",College Students; Distance Education; mindfulness; online reading; reading comprehension,"Allen Carbonell, Patricia",2017.0,,1,3
4,Supporting Reading Comprehension of At-Risk Pre-Adolescent Readers through the Use of Text-to-Speech Technology Paired with Strategic Instruction,"This research highlighted the use of text-to-speech technology and current shifts in strategy-based reading instruction in order to address the comprehension needs of struggling pre-adolescent readers. The following questions were posed: (a) Does reading comprehension of preadolescent struggling readers improve as the direct result of using text-to-speech technology to circumvent weaknesses in word decoding? and (b) What is the additive effect in the reading comprehension when question generation and use of topic sentences are paired with text-to-speech technology? This single-case research was an ABC design with multiple baselines. The project's dependent variables were (a) pre- post-standardized testing using WIAT (1992) subtests, (b) reading probes using curricular content, and (c) intervention data computed from the summarization of main ideas. Results demonstrated that using text-to-speech alone increased comprehension in all 5 participants and when combined with specific reading strategies, there was an additive treatment effect in 4 out of 5 participants. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]",At Risk Students; Computer Assisted Instruction; Decoding (Reading); Dependent Variables; educational technology; instructional effectiveness; intervention; Pretests Posttests; reading comprehension; Reading Difficulties; reading instruction; Reading strategies; Sensory Aids; Standardized Tests; Subtests,"Anderson, Susan D.",2009.0,,1,4
5,Short-and long-term effects of students’ self-directed metacognitive prompts on navigation behavior and learning performance,"This study seeks to promote learning in computer-based learning environments utilizing students’ self-directed metacognitive prompts. Such prompts are based on the idea of instructing students to design their own metacognitive scaffolds and learn with them afterward. In a pre-post experimental design, students in the experimental group (n = 35) were instructed to configure their own metacognitive prompts before learning whereas students in the control group (n = 35) learned without prompts. Log file analysis of navigation behavior indicates that students who learned with their individually designed, self-directed prompts visited relevant webpages significantly more often and spent a longer time on them compared with students in the control group. Moreover, participants in the experimental group attained better transfer performance immediately after learning. The long-term effect in transfer performance was even greater in a follow-up learning session conducted after three weeks without any instructional support in either group. These results are consistent with theories of metacognition and self-regulated learning and indicate that self-directed prompts can lead to sustainable effects. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",Computer Assisted Instruction; Computer Searching; Human Computer Interaction; Knowledge acquisition; learning environment; Long-term effects; Metacognition; Metacognitive prompts; Metacognitive skills; Self-directed prompts; Self-Regulated Learning,"Bannert, Maria; Sonnenberg, Christoph; Mengelkamp, Christoph; Pieger, Elisabeth",2015.0,10.1016/j.chb.2015.05.038,1,5
6,"Scaffolding expository history text reading: Effects on adolescents' comprehension, self-regulation, and motivation","Reading comprehension is an important predictor for academic success, yet many adolescents in secondary education face difficulties when reading their textbooks. In this quasi-experimental study, we developed a digital learning environment to scaffold students' expository text reading in seventh-grade history classrooms. Students in the experimental condition could use hints comprised of cognitive and metacognitive reading strategy instruction, whereas students in the control condition received no additional support. A comparison of posttest comprehension between conditions showed no significant differences. However, students in the experimental condition who accessed hints during history text reading performed significantly better on the posttest than students who did not use hints at all. We found no differences between conditions regarding students' self-regulated learning or motivation, but students' awareness of problem-solving reading strategies significantly increased in the experimental condition. Finally, a comparison of students with different reading levels showed that below-average readers benefitted most from digital reading practice. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",Academic Achievement Motivation; Hints; Middle School Students; motivation; Posttesting; Reading; reading comprehension; Reading Education; Scaffolding; Secondary Education; Self-Regulated Learning,"Beek, Marlies ter; Opdenakker, Marie-Christine; Spijkerboer, Alinda W.; Brummer, Leonie; Ozinga, Hidde W.; Strijbos, Jan-Willem",2019.0,10.1016/j.lindif.2019.06.003,1,6
7,"Second-Grade Urban Learners: Preliminary Findings for a Computer-Assisted, Culturally Relevant, Repeated Reading Intervention","This study investigated the effects of a multicomponent, supplemental intervention on the reading fluency of second-grade African-American urban students who showed reading and special education risk. The packaged intervention combined repeated readings and culturally relevant stories, delivered through a novel computer software program to enhance oral reading fluency and comprehension. A concurrent multiple probe experimental design across seven participants was used to assess intervention effects. Results showed a positive effect on both practiced and novel passages during intervention and on the 2-week and 1-month maintenance probes. Further, reading growth rates for the participants exceeded the growth rates for comparison peers on AIMSweb assessments. This study supports previous research on the beneficial effects of repeated reading strategies and computer delivered instruction. The link between fluency and comprehension was further supported in these findings. The possible relative effects of the use of culturally relevant material as well as study limitations are discussed. [This report was published in ""Education and Treatment of Children"" (EJ1145196).]",African American Students; Comparative Analysis; Computer Assisted Instruction; Culturally Relevant Education; Dynamic Indicators of Basic Early Literacy Skills (DIBELS); educational technology; Elementary School Students; Emergent literacy; Grade 2; intervention; Oral Reading; Pretests Posttests; Program Effectiveness; reading comprehension; Reading Fluency; Reading Materials; Reading Programs; Reading Tests; Repetition; Urban Schools,"Bennett, Jessica; Gardner, Ralph, III.; Cartledge, Gwendolyn; Ramnath, Rajiv; Council, Morris R., III.",2017.0,,1,7
8,The effects of a computer-assisted and culturally relevant repeated reading intervention on the oral reading fluency of second grade students at-risk,"This study examined the effects of a novel computer software program on the oral reading fluency and comprehension of urban second-grade students. The students scored at the 'at-risk' level on the DIBELS oral reading fluency fall benchmark assessment. A multiple baseline probe across participants design was used to determine if the repeated reading strategy using culturally relevant materials delivered through the computer software would increase participant oral reading fluency and comprehension. Oral reading fluency was measured by correct words per minute and comprehension was measured by responses to maze passages on both treatment and generalization probes. Seven second-grade students from two different schools were participants in the study and three students were tested as comparison peers. Participants were separated into four tiers and scheduled treatment according to skill level. Students in Tier 1, who showed the most deficits in correct words per minute as measured by AIMSweb, received treatment first and the remaining tiers were assigned accordingly. There were five participants (Tiers 1–3) and two comparison peers in one school and two participants (Tier 4) and one comparison peer in the other school. Comparison peers, who were closer to grade level, remained in extended baseline. Tier 1 entered into intervention when the participants' baseline data were stable. After analysis of Tier 1 responding to the CR timed readings, and analysis of baseline of the next tier, intervention began for Tier 2, and so on until all tiers were in intervention. Pre-and post-test measures were administered to all students and consisted of Woodcock Reading Mastery Test – Revised subtests of word attack, word identification, and passage comprehension. DIBELS oral reading fluency benchmark assessment data was provided by the teachers for beginning of the year and middle of the year and administered by researchers for end of the year. During baseline, treatment, and maintenance conditions, data were collected on the following dependent variables: correct words per minute on culturally relevant stories; correct responses to mazes on CR stories; number of timed readings needed to reach criteria on each culturally relevant story; correct words per minute on AIMSweb stories; and correct responses to mazes on AIMSweb stories. Treatment probes were given after each story sequence was successfully completed and generalization probes were given approximately every two to three treatment probes except when participants consistently took 2–3 sessions to finish a story, in which case they were given a generalization probe every five stories (i.e., after each set). There were a total of 24 culturally relevant stories/treatment probes and 25 generalization passages were available (between 14–20 were used for participants; 7 were used for comparison peers). Results indicate that after 7–13 weeks the packaged intervention was effective on increasing the oral reading fluency and comprehension of practiced culturally relevant passages for all participants. The intervention was also effective on increasing the oral reading fluency and comprehension on six of the participants on novel AIMSweb passages. These findings extend the research base supporting the use of repeated readings for second-grade students via computer-assisted instruction to supplement instruction. Further, the findings suggest that skill acquisition and generalization might be promoted by the use of culturally relevant materials. Limitations, directions for future research, and implications for practice are offered. (PsycINFO Database Record (c) 2020 APA, all rights reserved)",computer software; computer-assisted intervention; Elementary School Students; Oral Reading; oral reading fluency; Peers; Reading; reading comprehension; reading intervention; second grade students; Verbal Fluency; Words (Phonetic Units),"Bennett, Jessica Gittings",2020.0,,1,8
9,The contribution of text-highlighting to comprehension: A comparison of print and digital reading,"The use of digital materials in educational settings is common, despite evidence indicating that comprehension of digital text is inferior to comprehension of printed text. A potential solution to this problem is to use learning strategies for deeper text processing. Text-highlighting is a strategy known to improve comprehension of printed text; however, its contribution to digital reading comprehension is not clear. A between-subjects design was used to examine the influence of active text-highlighting on the comprehension of a college-level expository text, displayed either in print or digitally. Results for the without-highlighting condition replicated previous findings of inferior comprehension of the digital text relative to the printed one. When participants were instructed to use text-highlighting, performance improved only in the printed condition. Specifically, text-highlighting improved accuracy on questions that required inferential processing, but it did not affect performance on literal questions. Qualitative and quantitative analyses of the highlighting patterns in each media did not explain the differential effect of text-highlighting on comprehension in these settings. These findings bring into question the usefulness of text-highlighting as an effective strategy for learning from digital text. Thus, emphasizing the need for more systematic research on the effectiveness of traditional learning strategies in digital contexts. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",Digital Media; Digital text comprehension; Learning Strategies; print vs. digital reading; Printed Communications Media; reading comprehension; text-highlighting,"Ben-Yehudah, Gal; Eshet-Alkalai, Yoram",2018.0,,1,9
10,The effects of concept mapping and questioning on students' organization and retention of science knowledge while using interactive informational read-alouds,"According to recent assessment data, there is an urgent need to improve students’ knowledge of science. It has been suggested that the infusion of reading activities including concept mapping, questioning and interactive read-alouds can help students in learning science concepts. Little or no research has combined these methods to examine its effect on learning. The purpose of this study was to examine and compare concept mapping and questioning on students’ organization and retention of science knowledge when used with interactive informational read-alouds of science trade books. This study 1d 58 third grade students from four homogenous classes who were assigned to either a concept mapping group (experimental group) or a questioning with writing group (comparison group). With the same teacher, the school science specialist, the students completed an eight day unit regarding 'soil formation' comprised of read-alouds, discussions and reading comprehension activities. (There were no hands-on, laboratory experiments.) Students were assessed on different types of knowledge. Data were analyzed using a mixed model ANOVA design to determine both within-factors (repeated measure), to show growth, and between-factors, to determine the difference between the two groups. The concept mapping group (experimental group) performed significantly higher than the questioning with writing group (comparison) on (a) relational vocabulary assessment (measuring relational knowledge); (b) multiple-choice assessment (measuring students’ ability to identify key ideas); and (c) writing assessment (measuring students’ relational thinking, students’ ability to retain and recall key information and students’ ability to use domain knowledge). The concept mapping group maintained these gains in a delayed assessment. The groups did not differ on individual word knowledge as measured by a matching assessment. Recommendations are provided for teachers and researchers including using concept mapping in teaching science concepts to elementary students in conjunction with science text reading, as well as incorporating technology with computer-generated concept maps using Inspiration software. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",concept mapping; Concepts; interactive informational read-alouds; knowledge level; Organizations; Questioning; retention; Science Education; science knowledge; students' organization questioning,"Berry, Jaime Leigh",2012.0,,1,10
