Key,title,abstract,keywords,authors,year,doi,Included,ID
1,Assessment of the combined effect of epstein-barr virus and plasmodium falciparum infections on endemic burkitt lymphoma using a multiplex serological approach,"Epstein-Barr virus (EBV) is a necessary cause of endemic Burkitt lymphoma (eBL), while the role of Plasmodium falciparum in eBL remains uncertain. This study aimed to generate new hypotheses on the interplay between both infections in the development of eBL by investigating the IgG and IgM profiles against several EBV and P. falciparum antigens. Serum samples collected in a childhood study in Malawi (2005-2006) from 442 HIV-seronegative children (271 eBL cases and 171 controls) between 1.4 and 15 years old were tested by quantitative suspension array technology against a newly developed multiplex panel combining 4 EBV antigens [Z Epstein-Barr replication activator protein (ZEBRA), early antigen-diffuse component (EA-D), EBV nuclear antigen 1, and viral capsid antigen p18 subunit (VCA-p18)] and 15 P. falciparum antigens selected for their immunogenicity, role in malaria pathogenesis, and presence in different parasite stages. Principal component analyses, multivariate logistic models, and elastic-net regressions were used. As expected, elevated levels of EBV IgG (especially against the lytic antigens ZEBRA, EA-D, and VCA-p18) were strongly associated with eBL [high vs low tertile odds ratio (OR) = 8.67, 95% confidence interval (CI) = 4.81-15.64]. Higher IgG responses to the merozoite surface protein 3 were observed in children with eBL compared with controls (OR = 1.29, 95% CI = 1.02-1.64), showing an additive interaction with EBV IgGs (OR = 10.6, 95% CI = 5.1-22.2, P = 0.05). Using elastic-net regression models, eBL serological profile was further characterized by lower IgM levels against P. falciparum preerythrocytic-stage antigen CelTOS and EBV lytic antigen VCA-p18 compared with controls. In a secondary analysis, abdominal Burkitt lymphoma had lower IgM to EBV and higher IgG to EA-D levels than cases with head involvement. Overall, this exploratory study confirmed the strong role of EBV in eBL and identified differential IgG and IgM patterns to erythrocytic vs preerythrocytic P. falciparum antigens that suggest a more persistent/chronic malaria exposure and a weaker IgM immune response in children with eBL compared with controls. Future studies should continue exploring how the malaria infection status and the immune response to P. falciparum interact with EBV infection in the development of eBL.",Africa; Children; Endemic Burkitt lymphoma; Epstein-Barr virus; IgG; IgM; Multiplex; Plasmodium falciparum,"Aguilar, Ruth; Casabonne, Delphine; O'Callaghan-Gordo, Cristina; Vidal, Marta; Campo, Joseph J.; Mutalima, Nora; Angov, Evelina; Dutta, Sheetij; Gaur, Deepak; Chitnis, Chetan E.; Chauhan, Virander; Michel, Angelika; de Sanjosé, Silvia; Waterboer, Tim; Kogevinas, Manolis; Newton, Rob; Dobaño, Carlota",2017,10.3389/fimmu.2017.01284,0,1
2,Effect of two methods of introducing foods during feeding treatment on acceptance of previously rejected items,"The effects of using a single food item (e.g. bread) versus using multiple items (e.g. bread, pasta, and rice) when establishing food acceptance via an escape prevention procedure were investigated with six children who presented with food selectivity. Eating was exposed to a differential reinforcement of food acceptance treatment package but food acceptance did not improve. Criterion levels of appropriate eating (>80% acceptance, <20% expulsion, and <20% disruption) were subsequently established with either nonremoval of the spoon or physical guidance for each of the participants. Three of the children were presented with only one food item during acquisition of acceptance. The other children were presented with three different food items from the same food group. It was found that acquisition of acceptance was more rapid for the single-item group but that food acceptance was more likely to generalize to previously rejected items for the multi-item group. The implications for clinical intervention are discussed. Copyright © 2002 John Wiley & Sons, Ltd.",,"Ahearn, William H.",2002,10.1002/bin.112,0,2
3,An Assessment of Food Acceptance in Children with Autism or Pervasive Developmental Disorder-Not Otherwise Specified,"Some children with autism and pervasive developmental disorder-not otherwise specified (PDD-NOS) have been reported to have atypical feeding behavior, such as sensitivity to food texture and selective preferences for particular foods. No systematic studies of feeding behavior in this population have been published. Munk and Repp (1994) developed methods for assessing feeding problems in individuals with cognitive and physical disabilities that allow categorization of individual feeding patterns based on responses to repeated presentations of food. In this study, we systematically replicated the Munk and Repp procedures with children with autism and PDD-NOS. Thirty children, ages 3 to 14 years, were exposed to 12 food items across 6 sessions. Food acceptance, food expulsion, and disruptive behavior were recorded on a trial-by-trial basis. Approximately half of the participants exhibited patterns of food acceptance, indicating selectivity by food category or food texture. Others consistently accepted or rejected items across food categories. Whether these patterns of food acceptance are atypical remains to be determined by comparison with the feeding patterns of typically developing children and other children with developmental delays.",Autism spectrum disorder; Feeding assessment; Selective eating,"Ahearn, William H.; Castine, Todd; Nault, Karen; Green, Gina",2001,10.1023/A:1012221026124,0,3
4,"Lead and Juvenile Delinquency: New Evidence From Linked Birth, School, and Juvenile Detention Records","Using a unique data set linking preschool blood lead levels, birth, school, and detention records for 125,000 children born between 1990 and 2004 in Rhode Island, we estimate the impact of lead on school suspension and juvenile detention. Sibling fixed-effect models suggest that omitted variables related to family disadvantage do not bias OLS estimates. However, measurement error does. We use IV methods that exploit local (within-neighborhood), variation in lead exposure deriving from road proximity and the deleading of gasoline. For boys, a 1 unit increase in lead increased the probability of suspension from school by 6% and detention by 57%.",,"Aizer, Anna; Currie, Janet",2019,,1,4
5,Experiences of Gender Minority Youth With the Intrauterine System,"Purpose: The aim of the study was to evaluate the experience of menstruating adolescents identifying as male or gender nonconforming with the levonorgestrel-releasing intrauterine system (LNG-IUS) as a method of menstrual suppression and compare to that of cisgender youth (CGY) using the LNG-IUS for noncontraceptive indications. Methods: A retrospective chart review of gender minority youth (GMY), aged 12–22 years, who self-selected the 52 mg LNG-IUS for menstrual suppression between June 2014 and January 2018. GMY were then matched for age and time of insertion with CGY. Subjects were contacted by telephone to further explore LNG-IUS experience such as if the device was still in place, method satisfaction, current bleeding patterns, and for GMY improvement in menstrual distress. Results: Thirty GMY had the LNG-IUS inserted during the study period, and 20 GMY were matched with CGY for age and time of insertion. GMY were significantly more likely to receive sedation for LNG-IUS insertion (50% vs. 15%, p =.04). Otherwise, the LNG-IUS experience was similar between groups, including mean number of telephone/office visit encounters for an LNG-IUS concern, expulsion and reinsertion rates, and need for additional medications to control bleeding. On average, the mean months of use was 14.5 ± 8.6 months in GMY and 14.6±11.5 in CGY (p =.97). LNG-IUS removal was documented in three (15%) of GMY and five (25%) of CGY. Improvement in menstrual distress was reported by 80% of GMY after the insertion of the LNG-IUS. Conclusions: Overall experience with the LNG-IUS was similar for GMY and CGY, and menstrual distress and bleeding pattern improved in the majority of GMY who self-selected this method for menstrual suppression.",Gender minority youth; Levonorgestrel-intrauterine system; Menstrual suppression,"Akgul, Sinem; Bonny, Andrea E.; Ford, Nancy; Holland-Hall, Cynthia; Chelvakumar, Gayathri",2019,10.1016/j.jadohealth.2018.11.010,0,5
6,The development and evaluation of a simple method of gestational age estimation,"Aims The aims of this study were to develop and evaluate a shorter gestational age estimation method based on the Dubowitz scoring system (DSS) that could be taught easily to untrained health-care workers. Methods: Using the DSS, seven criteria were identified that explained 90% of the variance in gestational age estimation. Ventral suspension was excluded, skin texture was substituted for skin colour and ear bending was for ear firmness. The final six criteria comprise the short DSS (SDSS). The study population was 100 babies, 51 Caucasian, 34 Aboriginal. Birth weight ranged from 1351 to 5430 g. The gestational age range was 29.6-41.7 weeks. Three researchers (medical student 1 (MS1), medical student 2 (MS2) and a paediatrician) who were blind to other available gestational age estimations assessed babies within 72 h of birth using the DSS and SDSS. Results: MS1 found the 95% limits of agreement (LOA) between SDSS and DSS to be -1.1 to 1.7 weeks. In the 27 babies who had first trimester foetal ultrasound (USS), the LOA between USS and SDSS were -1.9 to 1.4 weeks and -2.3 to 1.9 weeks, respectively. Using the SDSS, the LOA for the three researchers were within ±2 weeks. Conclusion: The data presented suggest that the SDSS is approximately equivalent to the DSS in the relatively limited population studied, and within these limitations appears to be a simple alternative to the DSS. Further evaluation is needed before firm conclusions about the accuracy and clinical utility of the SDSS can be made. © 2008 Paediatrics and Child Health Division (Royal Australasian College of Physicians).",Gestational age; Low birth weight; Preterm infant; Ultrasound,"Allan, Rachel C.; Sayers, Susan; Powers, Jennifer; Singh, Gurmeet",2009,10.1111/j.1440-1754.2008.01429.x,0,6
7,"Early lead exposure (<3 years old) prospectively predicts fourth grade school suspension in Milwaukee, Wisconsin (USA)","School suspensions are associated with negative student outcomes. Environmental lead exposure increases hyperactivity and sensory defensiveness, two traits likely to increase classroom misbehavior and subsequent discipline. Childhood Blood Lead Level (BLL) test results categorized urban fourth graders as exposed (2687; lifetime max BLL 10-20 μg/dL) or unexposed (1076; no lifetime BLL ≥5 μg/dL). Exposed children were over twice as likely as unexposed children to be suspended (OR=2.66, 95% CI=[2.12, 3.32]), controlling for covariates. African American children were more likely to be suspended than white children, but lead exposure explained 23% of the racial discipline gap. These results suggest that different rates of environmental lead exposure may contribute to the racial discipline gap. © 2013 Elsevier Inc.",Blood lead; Discipline gap; Disparities; Lead exposure; School discipline; School suspension,"Amato, Michael S.; Magzamen, Sheryl; Imm, Pamela; Havlena, Jeffrey A.; Anderson, Henry A.; Kanarek, Marty S.; Moore, Colleen F.",2013,10.1016/j.envres.2013.07.008,1,7
8,Patients with pediatric obstructive sleep apnea show altered T-cell populations with a dominant TH17 profile,"pbjective. To characterize the immunologic changes of the tonsil as they correlate with increasing apnea-hypopnea index (AHI) in children. Study Design. Prospective immunologic analysis. Setting. Tertiary care pediatric otolaryngology practice. Subjects. Tonsils were collected from 24 children with obstructive sleep apnea, all of whom had undergone polysomnography at an accredited sleep center using scoring determined by the American Academy of Sleep Medicine 2007 scoring manual. Patients were excluded if they had been diagnosed with craniofacial abnormalities, neuromuscular disorders, or immunodeficiency. Methods. Single-cell suspensions were isolated from tonsils of 13 individuals and stained with flu or-conjugated antibodies and analyzed using fluorescence-activated cell sorting. Single-cell suspensions from tonsils of 11 additional individuals were incubated 21 hours and subjected to multiplexed enzyme-linked immunosorbent assay cytokine analysis. Results. In patients with an AHI >5 events/h, there was a statistically significant increase in the fraction of CD4+ CD45RO*T cells (P < .01), and the percentage of CD8+ FoxP3+ T cells (Tcreg) showed a statistically significant decrease (P < .005). Cytokine analysis revealed high levels of interleukin (IL)-I7A, IL-lb, IL-10, and IL-I2p70 production. Cytokine profiles revealed a conspicuous absence of IL-4 and IL-2. Conclusions. Our results indicate the tonsils of patients with obstructive sleep apnea have an ongoing inflammatory response characterized by increased effector CD4 T cells and decreased FoxP3 CD8 T cells. The THI7 skewing suggests that local immune activation may be either autoimmune or due to an extracellular pathogen. © American Academy of Otolaryngology-Head and Neck Surgery Foundation 2014.",adaptive immunity; apnea-hypopnea index; effector T cells; FoxP3; IL-17; obstructive sleep apnea; regulatory T cells,"Anderson, Martin E.; Buchwald, Zachary S.; Ko, Je; Aurora, Rajeev; Sanford, Thomas",2014,10.1177/0194599814521780,0,8
9,Gut microbial products regulate murine gastrointestinal motility via toll-like receptor 4 signaling,"BACKGROUND & AIMS: Altered gastrointestinal motility is associated with significant morbidity and health care costs. Toll-like receptors (TLR) regulate intestinal homeostasis. We examined the roles of TLR4 signaling in survival of enteric neurons and gastrointestinal motility. METHODS: We assessed changes in intestinal motility by assessing stool frequency, bead expulsion, and isometric muscle recordings of colonic longitudinal muscle strips from mice that do not express TLR4 (Tlr4Lps-d or TLR4-/-) or Myd88 (Myd88 -/-), in wild-type germ-free mice or wild-type mice depleted of the microbiota, and in mice with neural crest-specific deletion of Myd88 (Wnt1Cre+/-/Myd88fl/fl). We studied the effects of the TLR4 agonist lipopolysaccharide (LPS) on survival of cultured, immortalized fetal enteric neurons and enteric neuronal cells isolated from wild-type and Tlr4Lps-d mice at embryonic day 13.5. RESULTS: There was a significant delay in gastrointestinal motility and reduced numbers of nitrergic neurons in TLR4Lps-d, TLR4-/-, and Myd88-/- mice compared with wild-type mice. A similar phenotype was observed in germ-free mice, mice depleted of intestinal microbiota, and Wnt1Cre+/-/ Myd88fl/fl mice. Incubation of enteric neuronal cells with LPS led to activation of the transcription factor nuclear factor (NF)-κB and increased cell survival. CONCLUSIONS: Interactions between enteric neurons and microbes increases neuron survival and gastrointestinal motility in mice. LPS activation of TLR4 and NF-κB appears to promote survival of enteric neurons. Factors that regulate TLR4 signaling in neurons might be developed to alter gastrointestinal motility. © 2012 AGA Institute.",Apoptosis; Intestinal Transit; Microbiota; Mouse Model,"Anitha, Mallappa; Vijay-Kumar, Matam; Sitaraman, Shanthi V.; Gewirtz, Andrew T.; Srinivasan, Shanthi",2012,10.1053/j.gastro.2012.06.034,0,9
10,Black Girls and School Discipline: The Complexities of Being Overrepresented and Understudied,"Using Critical Race Theory and Critical Race Feminism as guiding conceptual frameworks, this mixed-methods empirical study examines Black girls’ exclusionary discipline outcomes. First, we examined disciplinary data from a large urban school district to assess racial group differences in office referral reasons and disparities for Black girls in out-of-school suspensions, law enforcement referrals, and expulsions. Next, we used a multivariate analysis to determine whether these patterns held after accounting for other identity markers. Finally, we used Critical Discourse Analysis to consider whether office referrals for Black girls were for subjective or objective behaviors and whether they aligned with dominant narratives.",Black girls; racism; school discipline; School-to-Prison Pipeline,"Annamma, Subini Ancy; Anyon, Yolanda; Joseph, Nicole M.; Farrar, Jordan; Greer, Eldridge; Downing, Barbara; Simmons, John",2019,10.1177/0042085916646610,1,10
