dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
01_Anmarkrudetal__2022__training_01_seed1825_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.4276578737010392,0.9952830188679245,True,0.4660271782573941,0.9952830188679245,True,False,False,,0.0,0.44684252597921664,0.9952830188679245,True,False,False,,0.0,0.4276578737010392,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_02_seed410_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_03_seed4507_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.3317346123101519,0.9716981132075472,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.3317346123101519,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_04_seed4013_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_05_seed3658_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.44964028776978415,0.9952830188679245,True,0.46882494004796166,0.9952830188679245,True,False,False,,0.0,0.44964028776978415,0.9952830188679245,True,False,False,,0.0,0.4304556354916067,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_06_seed2287_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.44844124700239807,0.9952830188679245,True,0.4676258992805755,0.9952830188679245,True,False,False,,0.0,0.44844124700239807,0.9952830188679245,True,False,False,,0.0,0.3313349320543565,0.9716981132075472,True,False,False,,0
01_Anmarkrudetal__2022__training_07_seed1680_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.43884892086330934,0.9952830188679245,True,0.4580335731414868,0.9952830188679245,True,False,False,,0.0,0.43884892086330934,0.9952830188679245,True,False,False,,0.0,0.2529976019184652,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_08_seed8936_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,95,1,0.06,B,0.4448441247002398,0.9952830188679245,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.42565947242206237,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_88_seed1085_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_89_seed3457_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4444444444444444,0.9952830188679245,True,0.4636290967226219,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_90_seed9293_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.46682653876898483,0.9952830188679245,True,0.46682653876898483,0.9952830188679245,True,False,False,,0.0,0.44764188649080733,0.9952830188679245,True,False,False,,0.0,0.3581135091926459,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_91_seed5156_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44324540367705834,0.9952830188679245,True,0.4624300559552358,0.9952830188679245,True,False,False,,0.0,0.44324540367705834,0.9952830188679245,True,False,False,,0.0,0.4240607513988809,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_92_seed3484_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42805755395683454,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_93_seed8180_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44644284572342124,0.9952830188679245,True,0.4656274980015987,0.9952830188679245,True,False,False,,0.0,0.44644284572342124,0.9952830188679245,True,False,False,,0.0,0.4272581934452438,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_94_seed6483_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.4244604316546763,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44364508393285373,0.9952830188679245,True,False,False,,0.0,0.4244604316546763,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_95_seed7518_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.44684252597921664,0.9952830188679245,True,0.4660271782573941,0.9952830188679245,True,False,False,,0.0,0.44684252597921664,0.9952830188679245,True,False,False,,0.0,0.3237410071942446,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_24_seed3612_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4492406075139888,0.9952830188679245,True,0.46842525979216626,0.9952830188679245,True,False,False,,0.0,0.4492406075139888,0.9952830188679245,True,False,False,,0.0,0.43005595523581136,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_25_seed7360_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.442845723421263,0.9952830188679245,True,0.46203037569944044,0.9952830188679245,True,False,False,,0.0,0.442845723421263,0.9952830188679245,True,False,False,,0.0,0.25699440447641886,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_26_seed9655_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,88,1,0.13,C,0.4248601119104716,0.9952830188679245,True,0.4632294164668265,0.9952830188679245,True,False,False,,0.0,0.4440447641886491,0.9952830188679245,True,False,False,,0.0,0.4248601119104716,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_27_seed4558_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.44524380495603516,0.9952830188679245,True,0.4644284572342126,0.9952830188679245,True,False,False,,0.0,0.44524380495603516,0.9952830188679245,True,False,False,,0.0,0.4260591526778577,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_28_seed107_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.4448441247002398,0.9952830188679245,True,0.46402877697841727,0.9952830188679245,True,False,False,,0.0,0.4448441247002398,0.9952830188679245,True,False,False,,0.0,0.42565947242206237,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_29_seed2616_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42326139088729015,0.9952830188679245,True,0.4616306954436451,0.9952830188679245,True,False,False,,0.0,0.44244604316546765,0.9952830188679245,True,False,False,,0.0,0.42326139088729015,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_30_seed6925_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,96,1,0.05,A,0.4628297362110312,0.9952830188679245,True,0.4628297362110312,0.9952830188679245,True,False,False,,0.0,0.44364508393285373,0.9952830188679245,True,False,False,,0.0,0.36171063149480415,0.9764150943396226,True,False,False,,0
01_Anmarkrudetal__2022__training_31_seed5575_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,91,1,0.1,B,0.447242206235012,0.9952830188679245,True,0.46642685851318944,0.9952830188679245,True,False,False,,0.0,0.447242206235012,0.9952830188679245,True,False,False,,0.0,0.42805755395683454,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_32_seed4553_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4444444444444444,0.9952830188679245,True,0.4636290967226219,0.9952830188679245,True,False,False,,0.0,0.4444444444444444,0.9952830188679245,True,False,False,,0.0,0.2541966426858513,0.9339622641509434,True,False,False,,0
01_Anmarkrudetal__2022__training_33_seed2548_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,92,1,0.09,B,0.4520383693045564,0.9952830188679245,True,0.4712230215827338,0.9952830188679245,True,False,False,,0.0,0.4520383693045564,0.9952830188679245,True,False,False,,0.0,0.43285371702637887,0.9952830188679245,True,False,True,0.0047169811320754715,1
01_Anmarkrudetal__2022__training_34_seed3528_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,90,1,0.11,C,0.42206235011990406,0.9952830188679245,True,0.460431654676259,0.9952830188679245,True,False,False,,0.0,0.4412470023980815,0.9952830188679245,True,False,False,,0.0,0.42206235011990406,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_35_seed5515_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,89,1,0.12,C,0.4228617106314948,0.9952830188679245,True,0.4612310151878497,0.9952830188679245,True,False,False,,0.0,0.44204636290967225,0.9952830188679245,True,False,False,,0.0,0.4228617106314948,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_36_seed1675_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,93,1,0.08,B,0.4492406075139888,0.9952830188679245,True,0.46842525979216626,0.9952830188679245,True,False,False,,0.0,0.4492406075139888,0.9952830188679245,True,False,False,,0.0,0.43005595523581136,0.9952830188679245,True,False,False,,0
01_Anmarkrudetal__2022__training_37_seed1520_LR_SBERT_complete_results_key1.csv,LR_SBERT,2502,212,211,94,1,0.07,B,0.4440447641886491,0.9952830188679245,True,0.4632294164668265,0.9952830188679245,True,False,False,,0.0,0.4440447641886491,0.9952830188679245,True,False,False,,0.0,0.3205435651478817,0.9764150943396226,True,False,False,,0
